tips,ll
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus ____,"51.5795796429,0.185475884156"
Great place to kill time if you can spare the cash.,"51.5374514845,-0.00179705528075"
CIRCUS SCHOOL is a great way to wear out your kids,"51.4083443677,0.178445049034"
www.ButcherRowStudios.com These guys are good for recording your songs and stuff :),"51.5113332847,-0.0427436828613"
Free Bingo on Thursdays :),"51.4961402371,-0.0432020602806"
Best place for karting in london😍,"51.5317916097,0.118738740859"
One of the best carting places in London,"51.4942273312,0.0356307371386"
Go super fast and dont use the break,"51.4928590973,0.286247256913"
"Good fun, good kart, good crew. Will recommend it to anyone!","51.4944917367,-0.0640749599665"
"Remember to collect your full race report so you can see your lap times, average speed and the fastest driver of the session - a great date souvenir!","51.6183864191,-0.0448668193855"
Waiting forevs 4 what??? No score sheets 😢,"51.517696246,-0.0303026791951"
I prefer the gas powered carts over the electric ones but still really fun,"51.5056583172,-0.255257701155"
Great place for adults as well as children to enjoy gokarting,"51.3755679131,-0.268318"
Nice track good location,"51.3756283554,-0.36218542099"
14 October: Severndroog Castle is a folly which was built in 1784 as a memorial to William James of the East India Co. to commemorate the conquest of the castle off the coast of Malabar in the 1760s.,"51.4666953348,0.0600647073752"
Amazing Art Deco.,"51.4472272129,0.0485587120056"
You dont have to go inside there is a gate near the clock you can take photos there,"51.4779432265,-0.00164451601912"
"Designed by Sir Christopher Wren, the college was going to have an enormous dome in the middle, but Queen Mary II objected as it would block the view of the river from her house in Greenwich Park.","51.4832336577,-0.00557899475098"
"Set in a stunning park, and sitting precisely on the Prime Meridian of the world, the Royal Observatory is a great way to spend an afternoon in South London.","51.4771332098,-0.00075101852417"
Has a new exercise area installed,"51.4895256283,0.125839320723"
Worth a visit! http://www.visitleevalley.org.uk/en/content/cms/nature/nature-reserve/three-mills-island/,"51.5270383022,-0.00769315576429"
Mind out for geese but relax near waters edge and also shout random words to people passing in pedalos and rowing boats.,"51.533899144,-0.0462953705855"
Amazing space w cafe. It's an oasis in Bromley-by-Bow.,"51.5272333854,-0.00757851781601"
Evensong is at 18:30.,"51.4832470203,-0.00512301921844"
"Stinks like a rundown squat, then a pet shop, then death. Very damp and muddy. Come with a change of clothing.","51.4939796963,0.0353625144095"
"Despite being a senior citizen (compared to my teenagers & friends),good location, equipment, friendly manager Ronnie and accommodating marshalls we had Alex & Courtney. Recommended.","51.6534147477,0.145147939098"
"Noisy, hectic but the kids love it & the rounds of games are well organised. Drop the kids & come back if you can't take the bedlam! Good value though","51.4086625024,0.0105844802857"
If coming here need to park in Terminus car park. Footbridge to centre etc,"51.7692146992,0.0949860384972"
Good on Brixton!,"51.4626639352,-0.115404725075"
see the London wall,"51.509640471,-0.0774718703749"
"If you've been moved by this memorial, please consider making a donation to give practical help to animals in need.","51.5110312356,-0.15741322644"
"The gates are in honour of the five million men and women from the Indian subcontinent, Africa and the Caribbean who volunteered to serve with the Armed Forces during the First and Second World Wars.","51.5026569466,-0.149138591018"
"These stern soldiers in their bearskins commemorate the role of the Brigade of Guards in the Crimean War, 1854-56. It’s one of the first memorials to recognise ordinary soldiers, not just officers.","51.5045946228,-0.129438013726"
God bless you Lady Di <3,"51.5049841757,-0.171357186113"
Nice statue near Piccadilly.,"51.5073501096,-0.132546389106"
"Puede pasar desapercibido, pero su valor simbólico es innegable.","51.5034506456,-0.126007608966"
The names of every town in Australia that sent tropps to one of the campaigns is engraved. I've taken photos and will put up a site so you can find your town before you arrive in London!,"51.5021271264,-0.151503945226"
Just a bus stop,"51.373173026,0.0973812061274"
This memorial commemorates about 4000 police officers killed in the UK whilst in the course of their duties. Located at the corner of The Mall and Horse Guards.,"51.50586,-0.129969"
"Take a few moments to look at the interesting tableau in the walls, depicting Queen Mum visiting the East End after bombing and her interests (but not, sadly, drinking gin).","51.5050475681,-0.133706309036"
"Tell kids not to walk over it. It's a war memorial, for goodness sake.","51.5028820224,-0.142500870143"
"Note the illuminated-tip crosses, these mark the Southern Cross constellation","51.5030030116,-0.15097929438"
Dedicated to Princess Diana and Dodi,"51.4999363087,-0.162672847909"
"My private residence, so entry by invitation only","51.4698819759,-0.328356899784"
Very nice place for mini golf and amazing food and drinks as well,"51.5142015736,-0.0803833670111"
"Great crazy golf, avoid Saturdays if you don't like hen and stag dos","51.5209907297,-0.0724598727559"
Get yourself down that slide!,"51.526360323,-0.0831986121144"
Fun little crazy golf course on top on a multi-storey car park. A few food pop ups and good bar too,"51.5418574584,-0.00138455016019"
"One of the holes, if you hit it in the water under a tunnel it will get you a whole in one","51.3913297575,-0.055842839779"
"Awesome little mini putt course. Only 12 holes so a good size for taking the kids, they can get bored after 18.","51.4617578437,-0.201163118466"
It's all about Tue specials!,"51.518012733,-0.103363744615"
Awesome place to spend an evening with friends - beats any UK mini golf I've been to! One of the highlights in the area,"51.4043558723,-0.242757213272"
Get here early on weekends. Parking is limited and the place is popular.,"51.5724411435,-0.323243252969"
"Cheap Tuesday's, Orange Wednesday's & Kid's AM Saturday's :)","51.5319469946,0.134965032108"
Free parking 24/7!,"51.5264329978,0.0804568928427"
Cineworld Ilford does Bargain Tuesday tickets. Come to the cinema on any Tuesday and get cut-price entry.,"51.5576,0.0741"
Best cinema ever!,"51.4903479177,0.0124456873702"
"Best place to watch films. Good bar, great seats and no chavs on their mobiles or eating popcorn.","51.4796185143,-0.00977752615762"
"Nice homely cinema, the crowds and annoying kids go to the nearby by Westfield, so its always pretty chilled.","51.5431629376,0.00116647484097"
"No ticket desks, use the machines or drink/popcorn counter!","51.5027890633,0.00468620516307"
Lovely relaxed atmosphere. Big glasses of wine! Pizzas are very tasty but just enough for one.,"51.5059008329,-0.0176249890226"
In the VIP area (balcony) middle seats are located under the projector.Light  Rays emitted by it marks the centre of screen,"51.5030824643,0.00473581757498"
Unlimited cards at around £15 are worth it if you go twice a month or more. You get some money off food too but its still ridiculously expensive!,"51.4558466762,0.150358271727"
"£4 tickets all day, every day. Finally visiting the cinema doesn't have to be a monthly luxury! Food and drink also cheap. Good to see the old Odeon resurrected.","51.5794113373,0.185656726444"
Two for one cocktails good value,"51.5022613846,0.00409829390562"
Distastefully sticky furniture and over priced,"51.5755307839,0.179589391078"
"If you turn right as soon as you go in, hug the left wall and do a jump-roll in the corner, you'll unlock a secret passage.","51.5077347271,-0.0228839305892"
Early Sunday evenings is the best time to avoid crowds and get good parking. Service was slow however.,"51.4877692004,0.281196874882"
Screen 17 Vue Extreme:bigger&louder!,"51.5435255028,-0.00651244155507"
"Great local cinema to have on your doorstep! Good selection of recent releases, comfy seats, good quality audio and visuals. Monday night tickets only £5.","51.5511286742,-0.0434195995331"
Did you know that World class opera is screened live to Showcase Bluewater.    Stunning productions from the New York Metropolitan Opera and our own Royal Opera House in Coventry Garden,"51.4372617274,0.27040732834"
Don't expect much in the way of customer service. These guys failed the McDonalds application,"51.4957162085,-0.0446634963603"
"This was the ABC thirty years back and me and my mates campaigned to get Saturday morning flicks for kids cos it only showed X rated movies then. Ah, memories!","51.5944371991,0.022389060076"
"Woolwich was where artillery guns and ammunition were made for the king from the late 17th century. The workers formed a football team called Dial Square in 1886, which later became Arsenal.","51.494544148,0.0721358745481"
Be sure to get the guided tour. You'll learn much more about this remarkable Tudor survivor.,"51.5329733278,0.0997410806385"
"11 July: Though completed in 1860, its Arts and Crafts interior gives it a much earlier feel. William Morris's house is noted for its peaceful gardens and beautiful stairway.","51.4557013077,0.130509582004"
Cancel your E! Subscription. These are the only stars worth watching.,"51.4769022116,-0.000631303932525"
"Set in a stunning park, and sitting precisely on the Prime Meridian of the world, the Royal Observatory is a great way to spend an afternoon in South London.","51.4771332098,-0.00075101852417"
Check out the massive Tesla Coil on the ground level - it fires every 15mins,"51.5072101735,0.0167774156589"
"The world's largest maritime museum contains a huge store of creatively organised maritime art, cartography, models and regalia.","51.4813292233,-0.0055809605092"
"Described as ‘probably the finest dining hall in the Western world’, this is also where Lord Nelson lay in state after his death at the Battle of Trafalgar. Thousands came to pay their respects.","51.4829669049,-0.00609366277314"
"Not £24 for adults, it's actually £12 for adults, £6.50 for children, £9.50 for concessions. Well worth the money.","51.482812733,-0.00961303710938"
"In 1616 Anne of Denmark, wife of James I, commissioned Inigo Jones to build the Queen’s House, the first fully Classical building in England. The house now forms part of the National Maritime Museum.","51.4812759906,-0.00394821166992"
"This fascinating museum is located in an old Georgian sugar warehouse, and tells the 2,000 year story of London’s river, port and people. It also houses the archives of the Port of London Authority.","51.509326777,-0.0230004751717"
"Wildlife, bird hides & cakes!","51.4867896889,0.227443773295"
"Visit the cutty sark n discover some history, grab something to eat at Nandos which is close by.","51.4828567637,-0.00863924961847"
"Steam Engines, architecture, heritage and great volunteers.","51.5091954031,0.138182503756"
Brilliant. So well thought out; even the stairs to the slide are 1/2 height so littl'uns can manage on their own. Can never get LM to leave! (FYI cafe not great.) Check website for events/story times.,"51.539106516,-0.000351087343517"
check the board for the day's activities,"51.529038,-0.054832"
A beautiful gallery and in the heart of Walthamstow. An absolute must see.,"51.5911500354,-0.0202640149623"
"Perhaps the best old house in London. Takes about 1.5 hours to go round, and then there's a nice cafe.","51.5485310287,-0.0503495300685"
You must get some cocktails from the Midnight Apothecary here- awesome!,"51.501588,-0.052947"
"Epic view of London from the two walkways. 2for1 tickets if you travel by train, plus your ticket will also get you into the Engine Rooms.","51.5059620618,-0.0753079019495"
"This WW2 cruiser, now a tourist attraction, took part in the sinking of the German battleship Scharnhorst and in the D-Day landings. Her guns are aimed at an M1 service station 12.5 miles away.","51.5065989064,-0.0815069675446"
"Housed in a set of 18th-century almshouses, the Geffrye Museum offers a vivid physical history of the English interior.","51.5318043066,-0.0764697790146"
"Great fun to be had by everyone. The aquarium is worth the small fee to enter, and during the summer they have jazz bands playing in the bandstand.","51.4409815123,-0.0613689422607"
"The Bishop of Durham was the first recorded prisoner at the Tower, the tallest building in 1098. He escaped using a rope smuggled in a pot of wine and fled to Normandy.","51.5080764471,-0.0760489212341"
Explore the Dennis Severs house. In silence.,"51.5210697243,-0.0777969166968"
One of the few memories of medieval times on the Southbank,"51.506893117,-0.0908788213431"
"Founded by Zandra Rhodes, Bermondsey's very own celebration of the London (and international) rag trade.","51.5010439166,-0.0819165369076"
Nice little museum for local history. Free entry good after a Sunday brunch and stroll.,"51.5839819938,-0.0127197276866"
Planning on attending the Freedom of Spirit: The Women's Suffrage Movement in Royal Greenwich.,"51.4940802791,0.0702161063664"
Did u know the author of The Windows in the Willows was a Secretary of The Bank of England?,"51.514341208,-0.0875519795836"
Poco que ver. Lo peor de la Torre de Londres bajo mi punto de vista.,"51.5078042678,-0.0767071617651"
Fascinating delve into Tudor life.,"51.6344213801,0.0173202834971"
"Search for buried treasure under the third yard past the half-mast, ahaaaarrrrggggghhhh.","51.5067994665,-0.090491277969"
"The largest dome in the world and the largest single-roofed structure in the world was built amid some controversy for £789 million just in time for the millennium, completed in June 1999.","51.5029737935,0.00409617445395"
Seems it might be actually worthwhile getting VIP tickets as you get to hang about in the swanky (or at least nicer) bar upstairs.,"51.5024317147,0.00466203052933"
"Big Band Music! Nice vibe, good atmosphere and lots inspiration retro.Casual Swing dancers that it does take a step back in  time .","51.5114302775,-0.0430085964183"
No mention was made when I booked for dinner that an extra £15 per head would be charged for the music.  Good but V expensive,"51.5052916098,-0.0224580569121"
Small place with some decent beers. Good venue if you live nearby.,"51.5009504485,0.0054139105385"
We just found ourselves another favourite music venue in London. Never new this existed until Garbage played here. Standing is not sloped however .... next time it will be upstairs 4 a better view,"51.5128070746,-0.044016279425"
"Completely made over. No longer a goth pit, now mainly a purveyor of cask ales.","51.5290163971,-0.0383335082277"
"I've been here only for the reason that it was the place where in the early 80s started the worlwide success of the NWOBHM band Iron Maiden. For a true metal fan, this is a legend.","51.5450085866,0.049480643114"
This is the pub where Iron Maiden first played together. It needs no further introduction.,"51.545867431,0.00436309055808"
Nice music venue but WOW IS IT HOT IN HERE.,"51.5426976225,-0.0233136980717"
Intimate love music venue open till late.,"51.5683194436,0.0103471762218"
Excellent venue for hanging out with friends for a few drinks. Food is very good although the menu is a little limited. Great live music at weekends from local bands.,"51.4508659716,0.0123395995004"
"The permanant home of bloc, who are sadly not running any more festivals.  Great space, great sound system,  great DJS.  What more do you need?","51.5352938583,-0.0200899794672"
A great little venue with very good live bands who play a good range of music and friendly staff. Best to park in the street or get the bus and walk as the car park can fill up quickly.,"51.4196842411,0.0901547842748"
such good pizza for so cheap)),"51.5230248809,-0.0427736453494"
Amazing music venue.. nice ambiance..dimly lit..beautiful candelabres nd fireplaces. great beer garden..fairylights.. vintagy feels..,"51.4567796379,-0.0141613766506"
www.brooksidetheatre.com,"51.5759924818,0.184869692955"
Live music Friday,"51.5285703307,-0.0406141988617"
Great place for a gig,"51.4762029585,-0.0227382176396"
Perfect venue for music and comedy - always lively thanks to Goldsmiths. Plenty of character.,"51.4758503101,-0.0326534439105"
This is a great venue if you want to get live music,"51.5555460445,0.00495270283134"
Don't ask for chart stuff; unless it's from a long long time ago the Dj was born when Queen Victoria used to live near here.,"51.5351308397,-0.033152002515"
The 4 bunk rooms are nice & not overly crowded. The communal space is a bit crowded. The location is decent & easy trip into the city or walk into Greenwich Park. :),"51.4735549844,-0.0271658467122"
Love this place,"51.4794583989,-0.00809583823968"
www.ButcherRowStudios.com These guys are good for recording your songs and stuff :),"51.5113332847,-0.0427436828613"
Total crap,"51.4756763908,-0.0370638006914"
Craft beer,"51.5555272734,0.0187135850611"
"Always some great independent touring theatre productions, poetry and open mic nights.","51.4777402352,-0.0276079847273"
What a wonderful afternoon entertainment with very nice sandwiches and cakes,"51.5026354061,0.0428804755211"
"Guest ales on tap, great food and a lovely beer garden.","51.4564845734,-0.0215023055214"
Has a relaxed beer garden overlooking the river where you sit between garden patches.,"51.5437142535,-0.0220704903328"
"Good little theatre. Try their bar, the staff are lovely.","51.5429199283,0.000779223175519"
Seems it might be actually worthwhile getting VIP tickets as you get to hang about in the swanky (or at least nicer) bar upstairs.,"51.5024317147,0.00466203052933"
Special deal on Dance Studio hire: £12 an hour for local groups! Get in touch!,"51.5318009695,0.0756812095642"
"Mid scale theatre, lots of short run productions from touring companies across the UK. Very relaxed atmostphere, interesting shows, low cost tickets, locally brewed beer!","51.4795306132,-0.00763741502082"
Best seats are anywhere in the house as it's a raked auditorium !!,"51.5584834202,0.0748022407457"
"Great use of ex-industrial space in Hackney Wick. Well designed theatre and a cool bar serving local, craft beers.","51.5426976225,-0.0233136980717"
Surprisingly good local productions,"51.4459834906,0.217881202698"
Great for kids,"51.5429440045,0.00170042126008"
Wild Horses!,"51.445195814,0.205796250438"
www.brooksidetheatre.com,"51.5759924818,0.184869692955"
check out the website!,"51.5356388789,0.0778803438898"
The space is a great venue on the isle of dogs originally a Victorian church now a vibrant arts centre where you can see lots of great shows and events!,"51.4921775511,-0.0242395259259"
Great shows from conservatory students,"51.4800508437,-0.0191589874673"
Good for freshly made sandwiches and light meals. Interesting choices of lunchtime specials.,"51.5659433151,0.219517881609"
Saturday morning children's classes are great fun. Excellent informal introduction to dance.,"51.5329191329,-0.0398304507864"
"The Winter Home of Gorilla Circus, usually September–April.","51.4945172524,0.0437237500881"
"You can experience a variety of dance through classes and performances.  Sign up to participate in one of their community show; the standard is superb, you'd dance with professionals - exciting!","51.4778452732,-0.0104828767143"
https://www.yell.com/biz/russian-school-friendship-erith-6415518/#Gymnastic #Rhytmic,"51.450528,0.140154"
Boy Blue Entertainment training grounds,"51.5497868297,0.00567487590271"
The webite for The Eleanor Arms,"51.5351492133,-0.0331291058553"
Free foosball in the bar!,"51.575568781,0.179667461709"
"The best leisure centre of the area you can enjoy a very new gym, nice sports hall to play badminton or relax in the swimming pool. I really recommend it!","51.5111718677,-0.013758091744"
"Previously at Heron Quay, this illuminated sculpture by Pierre Vivant  was taken down in 2012 and relocated to the roundabout outside Billingsgate Market in 2014.","51.5065739659,-0.00945986871059"
Patriot 🇷🇺🇷🇺🇷🇺,"51.4770043858,-0.0007063901202"
"Originally commissioned for the Fourth Plinth in Trafalgar Square, this scaled-down replica of HMS Victory has a new permanent home at the National Maritime Museum: https://vimeo.com/40997510","51.4802658609,-0.00541720924466"
Public lobby invariably has art installations or sculpture. Sometimes worth a walk around!,"51.5048746776,-0.0195345348103"
"Amazing! Definitely worth a go even if you do have to wear the ridiculous hats, it’s fast and will put a big smile on your face guaranteed.","51.538415,-0.013181"
Iconic selfie moment,"51.548736,-0.016521"
Fish and chips are great,"51.3737177675,-0.361921681416"
Bet on  win one,"51.5721535557,0.166845909907"
"Great atmosphere, amazing salsa teachers on Tuesday's & pleasant friendly people as well as the music is on point,","51.54095,-0.194095"
If you like it then ya shoulda put a roof on it,"51.5386281602,-0.016565322876"
Nice little stadium,"51.4865830531,0.0359311213189"
The south Park is now open offering closer views of the Olympic Stadium,"51.5402956882,-0.0129375568671"
"Humongous stadium mostly used for the biggest artists in rock, pop and comedy, although the occasional classical concert, or more recently ballet, are on the bill.","51.5029737935,0.00409617445395"
It's abandoned.,"51.5421903924,0.0221044579343"
A great place to see the Olympic stadium and the coffee is not too shabby either!,"51.5353874141,-0.0132037689468"
Parkrun - outside the stadium 9am every Saturday. Free timed 5k.,"51.5186041714,-0.0336992740631"
"The club was formed by merger in 1992 but descends from amateur clubs which date back to 1881. Victoria Road’s attendance record of 7,200 was set when Dagenham hosted Reading in the 1967 FA Cup.","51.5474733172,0.160230822919"
Seats are a £1 supplement paid to designated Stewards.,"51.4604287194,0.118020613767"
This stadium played host to the greatest game in its short history on Sunday 28th March 2010. Dostown FC took on Bexley Park in the 1st ever Mad Kev Tennent's Foundation Cup. FS: 2-2. BP 5-4 on pens.,"51.4368434919,0.230509239743"
The 3 course meal is good with a nice view of the track.,"51.4485712281,0.17582142732"
Great bar shame facilities has stood still still enjoyed the game and will return,"51.5565688446,0.238244533539"
This place is horrible it feels like you are at an Idiocracy theme park! Food chains and no signal for non-O2 customers.,"51.5029737935,0.00409617445395"
Packed lunches a good idea here.,"51.6258341303,0.237564500927"
Escape beauty studio does the best and relaxing aromatherapy facial. Wanna go back again!,"51.6003390635,0.446970334243"
Come and see Ferrari World Abu Dhabi on the Abu Dhabi stand at S6. The largest indoor theme park in the world,"51.5082468784,0.0322403794256"
"Amazing! Definitely worth a go even if you do have to wear the ridiculous hats, it’s fast and will put a big smile on your face guaranteed.","51.538415,-0.013181"
The location is very convenient for parents (Westfield). The attraction itself is good but will best benefit children aged up to 8 years old,"51.5084747614,-0.219926708572"
Great place for the entire family.,"51.3826962923,0.478675505121"
Enjoy a 20 minute ride in tunnels under the streets of London in Royal Mail's mail train.,"51.5247257719,-0.113639831543"
Totally amazing and most enjoyable entertainment city eveeeer,"51.3484254528,-0.317157420891"
Complete with German Winter Market,"51.5055746977,-0.160102471919"
"If you don't mind waiting a little longer then queue for the front, much better.","51.3469749082,-0.3159610045"
Let's shot the baddies,"51.3489610068,-0.31915761132"
Try to get on a car with some fat people!,"51.3478249134,-0.319160395915"
Que is longer than it looks from the outside!!!!,"51.3478701374,-0.320204706072"
Great ride get there earily to avoid the queue.,"51.3485177958,-0.320743672485"
This ride really hurts especially if you have a belly. Avoid!,"51.3488972234,-0.317749321256"
