tips,lem_words,lem_tags,word_tags,lng,lat
"In 1616 Anne of Denmark, wife of James I, commissioned Inigo Jones to build the Queen’s House, the first fully Classical building in England. The house now forms part of the National Maritime Museum.",anne denmark wife jame commission inigo jone build queen house first fully classical building england house now form part national maritime museum,NN NN NN NN VB NN NN VB NN NN JJ RB JJ NN NN NN RB NN NN JJ JJ NN,"[anne/NN, denmark/NN, wife/NN, jame/NN, commission/VB, inigo/NN, jone/NN, build/VB, queen/NN, house/NN, first/JJ, fully/RB, classical/JJ, building/NN, england/NN, house/NN, now/RB, form/NN, part/NN, national/JJ, maritime/JJ, museum/NN]",51.4812759906,-0.00394821166992
"Really good coffee, if its busy its still worth the wait. Great food too, friendly staff and amazing windows upstairs... Shame about the view!",really good coffee busy still worth wait great food too friendly staff amazing window upstairs shame view,RB JJ NN JJ RB VB NN JJ NN RB JJ NN JJ NN JJ NN NN,"[really/RB, good/JJ, coffee/NN, busy/JJ, still/RB, worth/VB, wait/NN, great/JJ, food/NN, too/RB, friendly/JJ, staff/NN, amazing/JJ, window/NN, upstairs/JJ, shame/NN, view/NN]",51.5400824936,-0.0209389374755
The pizzas look amazing. Will be back to try ...  And cheap good prosecco,pizza look amazing be back try cheap good prosecco,NN VB JJ VB RB VB JJ JJ NN,"[pizza/NN, look/VB, amazing/JJ, be/VB, back/RB, try/VB, cheap/JJ, good/JJ, prosecco/NN]",51.543053251,-0.0220629993382
Nice little gallery with rotating exhibitions.,nice little gallery rotate exhibition,JJ JJ NN VB NN,"[nice/JJ, little/JJ, gallery/NN, rotate/VB, exhibition/NN]",51.5292141882,-0.0169734915194
Nice historic images of London. It's worth popping in.,nice historic image london pop,JJ JJ NN NN VB,"[nice/JJ, historic/JJ, image/NN, london/NN, pop/VB]",51.5433047834,-0.00827849188575
"Great coffee, very reasonably priced small foods, great cake. Lovely place to work",great coffee very reasonably price small food great cake lovely place work,JJ NN RB RB VB JJ NN JJ NN JJ NN VB,"[great/JJ, coffee/NN, very/RB, reasonably/RB, price/VB, small/JJ, food/NN, great/JJ, cake/NN, lovely/JJ, place/NN, work/VB]",51.5126513276,-0.0385495885481
"If you love bands but want something different in the way of artwork to represent your love for them, this is the place to go. Limited ed prints. Tour posters with a twist. It has it all!",love band want something different way artwork represent love be place go limited ed print tour poster twist have,VB NN VB NN JJ NN NN VB NN VB NN VB JJ NN NN NN NN NN VB,"[love/VB, band/NN, want/VB, something/NN, different/JJ, way/NN, artwork/NN, represent/VB, love/NN, be/VB, place/NN, go/VB, limited/JJ, ed/NN, print/NN, tour/NN, poster/NN, twist/NN, have/VB]",51.4816676005,-0.00909757663917
"Lovely community centre. Sometimes open to the public as a bar. Local bands play and the wine is nice. Nice informal, don't feel rushed.",lovely community centre sometimes open public bar local band play wine be nice nice informal don feel rush,JJ NN NN RB JJ JJ NN JJ NN NN NN VB JJ JJ JJ VB NN VB,"[lovely/JJ, community/NN, centre/NN, sometimes/RB, open/JJ, public/JJ, bar/NN, local/JJ, band/NN, play/NN, wine/NN, be/VB, nice/JJ, nice/JJ, informal/JJ, don/VB, feel/NN, rush/VB]",51.5502521975,-0.0429009357443
Fantastic brunch. Great coffee and local beer. Amazing hot chocolate. Love it here.,fantastic brunch great coffee local beer amazing hot chocolate love here,JJ NN JJ NN JJ NN JJ JJ NN VB RB,"[fantastic/JJ, brunch/NN, great/JJ, coffee/NN, local/JJ, beer/NN, amazing/JJ, hot/JJ, chocolate/NN, love/VB, here/RB]",51.5353874141,-0.0132037689468
"The world’s only museum dedicated to fans. It’s a tiny space consisting of two rooms with an overall collection of 3,500 antique fans, some of which date as far back as the eleventh century.",world only museum dedicate fan tiny space consist room overall collection antique fan date far back eleventh century,NN JJ NN VB NN JJ NN VB NN JJ NN JJ NN NN RB RB JJ NN,"[world/NN, only/JJ, museum/NN, dedicate/VB, fan/NN, tiny/JJ, space/NN, consist/VB, room/NN, overall/JJ, collection/NN, antique/JJ, fan/NN, date/NN, far/RB, back/RB, eleventh/JJ, century/NN]",51.4792666151,-0.00799764466221
Atm there's Bao-Hoo art show at the gallery next door,atm bao hoo art show gallery next door,NN NN JJ NN NN NN JJ NN,"[atm/NN, bao/NN, hoo/JJ, art/NN, show/NN, gallery/NN, next/JJ, door/NN]",51.5290326145,-0.0178915234045
Tell people that the toilet in the end police cell is haunted and then flush the loo from the outside while they're in there. Mwa ha haaaaaa!,tell person toilet end police cell be haunt then flush loo outside re there mwa haaaaaa,VB NN NN NN NN NN VB VB RB VB NN JJ NN RB JJ NN,"[tell/VB, person/NN, toilet/NN, end/NN, police/NN, cell/NN, be/VB, haunt/VB, then/RB, flush/VB, loo/NN, outside/JJ, re/NN, there/RB, mwa/JJ, haaaaaa/NN]",51.4794793158,-0.0317190910236
Great landlord has injected new life in to this place. Traditional boozer. Lewisham's Pub of the Year 2010. Basement art gallery called Tank too.,great landlord have inject new life place traditional boozer lewisham pub year basement art gallery call tank too,JJ NN VB VB JJ NN NN JJ NN NN NN NN NN NN NN VB NN RB,"[great/JJ, landlord/NN, have/VB, inject/VB, new/JJ, life/NN, place/NN, traditional/JJ, boozer/NN, lewisham/NN, pub/NN, year/NN, basement/NN, art/NN, gallery/NN, call/VB, tank/NN, too/RB]",51.4564845734,-0.0215023055214
Magical place for weekend trip. Great for music lovers! You can also go on top of the lighthouse and have a view of Canary Wharf skyscrapers 💓,magical place weekend trip great music lover also go top lighthouse have view canary wharf skyscraper,JJ NN NN NN JJ NN NN RB VB NN NN VB NN JJ NN NN,"[magical/JJ, place/NN, weekend/NN, trip/NN, great/JJ, music/NN, lover/NN, also/RB, go/VB, top/NN, lighthouse/NN, have/VB, view/NN, canary/JJ, wharf/NN, skyscraper/NN]",51.5077109093,0.00820328504559
Lovely light airy studios and an Arts Award training centre. The Nunnery in particular is a wonderful space for gallery exhibitions and events.,lovely light airy studio art award training centre nunnery particular be wonderful space gallery exhibition event,JJ JJ JJ NN NN NN NN NN NN JJ VB JJ NN NN NN NN,"[lovely/JJ, light/JJ, airy/JJ, studio/NN, art/NN, award/NN, training/NN, centre/NN, nunnery/NN, particular/JJ, be/VB, wonderful/JJ, space/NN, gallery/NN, exhibition/NN, event/NN]",51.5289472449,-0.0175755939443
Be sure to visit the roof terrace for great views.,be sure visit roof terrace great view,VB JJ VB NN NN JJ NN,"[be/VB, sure/JJ, visit/VB, roof/NN, terrace/NN, great/JJ, view/NN]",51.539364,-0.02144
Super interesting gallery nearby the canal!,super interesting gallery nearby canal,JJ JJ NN RB NN,"[super/JJ, interesting/JJ, gallery/NN, nearby/RB, canal/NN]",51.5267560654,-0.03790964228
The new breakfast frontier! The food is amazing and the atmosphere is very good. Amazing staff. Highly recommended!!!,new breakfast frontier food be amazing atmosphere be very good amazing staff highly recommend,JJ NN NN NN VB JJ NN VB RB JJ JJ NN RB VB,"[new/JJ, breakfast/NN, frontier/NN, food/NN, be/VB, amazing/JJ, atmosphere/NN, be/VB, very/RB, good/JJ, amazing/JJ, staff/NN, highly/RB, recommend/VB]",51.531273705,-0.0386023521423
"Bar staff don't know how to work a bar, slow & clueless.",bar staff don know work bar slow clueless,NN NN VB VB VB NN VB NN,"[bar/NN, staff/NN, don/VB, know/VB, work/VB, bar/NN, slow/VB, clueless/NN]",51.5326713029,0.137593099739
Buy any third game for just £1 (pp),buy third game just pp,VB JJ NN RB VB,"[buy/VB, third/JJ, game/NN, just/RB, pp/VB]",51.4627149497,-0.0085972969013
Great milkshakes - Reese's & Oreo are both a hit.,great milkshake reese oreo be hit,JJ NN VB JJ VB NN,"[great/JJ, milkshake/NN, reese/VB, oreo/JJ, be/VB, hit/NN]",51.5427293308,-0.00726056378661
Free foosball in the bar!,free foosball bar,JJ NN NN,"[free/JJ, foosball/NN, bar/NN]",51.575568781,0.179667461709
"Trinity Chapel Church is also located in Jenkins Lane, at the former bowling alley....",trinity chapel church be also locate jenkins lane former bowling alley,NN NN NN VB RB VB JJ NN JJ NN NN,"[trinity/NN, chapel/NN, church/NN, be/VB, also/RB, locate/VB, jenkins/JJ, lane/NN, former/JJ, bowling/NN, alley/NN]",51.5264329978,0.0804568928427
"Book in advance, lanes get filled quick! Especially on the weekends.",book advance lane get fill quick especially weekend,NN NN NN VB VB JJ RB NN,"[book/NN, advance/NN, lane/NN, get/VB, fill/VB, quick/JJ, especially/RB, weekend/NN]",51.4567017283,0.138167681493
Quiet like a graveyard on a Thursday night. Bar staff are hopeless at making drinks.,quiet graveyard thursday night bar staff be hopeless make drink,JJ NN NN NN NN NN VB JJ VB NN,"[quiet/JJ, graveyard/NN, thursday/NN, night/NN, bar/NN, staff/NN, be/VB, hopeless/JJ, make/VB, drink/NN]",51.5036271483,0.00328302383423
Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,really good value money hold birthday party little one bowling shoe be red black go colour be fine,RB JJ NN NN VB NN NN JJ NN NN NN VB JJ JJ VB NN VB JJ,"[really/RB, good/JJ, value/NN, money/NN, hold/VB, birthday/NN, party/NN, little/JJ, one/NN, bowling/NN, shoe/NN, be/VB, red/JJ, black/JJ, go/VB, colour/NN, be/VB, fine/JJ]",51.4963091031,-0.0430503430566
you can trade here with john lewis pillows,trade here john lewis pillow,VB RB NN NN NN,"[trade/VB, here/RB, john/NN, lewis/NN, pillow/NN]",51.5426501912,-0.00641376614963
I'm not entire sold but aside from The Cow and the casino this is probably the only other place in the new Westfield where you can grab a cheeky pint. The selection on offer is unrivalled.,not entire sold aside cow casino be probably only other place new westfield grab cheeky pint selection offer be unrivalled,RB JJ NN RB NN NN VB RB JJ JJ NN JJ VB VB JJ NN NN NN VB JJ,"[not/RB, entire/JJ, sold/NN, aside/RB, cow/NN, casino/NN, be/VB, probably/RB, only/JJ, other/JJ, place/NN, new/JJ, westfield/VB, grab/VB, cheeky/JJ, pint/NN, selection/NN, offer/NN, be/VB, unrivalled/JJ]",51.5441193924,-0.00881275504842
Fucking awful service. Go to the casino instead if you want sport,fucking awful service go casino instead want sport,JJ JJ NN VB NN RB VB NN,"[fucking/JJ, awful/JJ, service/NN, go/VB, casino/NN, instead/RB, want/VB, sport/NN]",51.5421796199,-0.00826416559531
"Always some great independent touring theatre productions, poetry and open mic nights.",always great independent touring theatre production poetry open mic night,RB JJ JJ NN NN NN NN JJ JJ NN,"[always/RB, great/JJ, independent/JJ, touring/NN, theatre/NN, production/NN, poetry/NN, open/JJ, mic/JJ, night/NN]",51.4777402352,-0.0276079847273
Check out the Sunday Special for awesome comedians every week!,check sunday special awesome comedian week,NN NN JJ JJ NN NN,"[check/NN, sunday/NN, special/JJ, awesome/JJ, comedian/NN, week/NN]",51.4814667231,-0.0116150324026
"Refurbished in summer 2015, it's far more upbeat, with interior & exterior (especially garden) done up very nicely. Great atmosphere & service, good drinks & food. Quality comedy club nights launched.",refurbish summer far more upbeat interior exterior especially garden do very nicely great atmosphere service good drink food quality comedy club night launch,VB NN RB RB JJ JJ JJ RB NN VB RB RB JJ NN NN JJ NN NN NN NN NN NN VB,"[refurbish/VB, summer/NN, far/RB, more/RB, upbeat/JJ, interior/JJ, exterior/JJ, especially/RB, garden/NN, do/VB, very/RB, nicely/RB, great/JJ, atmosphere/NN, service/NN, good/JJ, drink/NN, food/NN, quality/NN, comedy/NN, club/NN, night/NN, launch/VB]",51.4809795815,0.0792239675782
What a wonderful afternoon entertainment with very nice sandwiches and cakes,wonderful afternoon entertainment very nice sandwich cake,JJ NN NN RB JJ NN NN,"[wonderful/JJ, afternoon/NN, entertainment/NN, very/RB, nice/JJ, sandwich/NN, cake/NN]",51.5026354061,0.0428804755211
Two for one cocktails good value,cocktail good value,NN JJ NN,"[cocktail/NN, good/JJ, value/NN]",51.5022613846,0.00409829390562
The AR Rahman concert was great. Amazing hall with huge seating capacity.,ar rahman concert be great amazing hall huge seating capacity,JJ NN NN VB JJ JJ NN JJ NN NN,"[ar/JJ, rahman/NN, concert/NN, be/VB, great/JJ, amazing/JJ, hall/NN, huge/JJ, seating/NN, capacity/NN]",51.5029737935,0.00409617445395
its gorgeous when your drunk,gorgeous drunk,JJ NN,"[gorgeous/JJ, drunk/NN]",51.5128070746,-0.044016279425
Love this place. Variety choice for food. Enjoy movie in cineworld. And concert hall. Exhibition. Or have some drinking session. Occasionally with skate available. Sometime unexpected new stuffs.,love place variety choice food enjoy movie cineworld concert hall exhibition have drink session occasionally skate available sometime unexpected new stuff,VB NN NN NN NN VB NN NN NN NN NN VB VB NN RB VB JJ RB JJ JJ NN,"[love/VB, place/NN, variety/NN, choice/NN, food/NN, enjoy/VB, movie/NN, cineworld/NN, concert/NN, hall/NN, exhibition/NN, have/VB, drink/VB, session/NN, occasionally/RB, skate/VB, available/JJ, sometime/RB, unexpected/JJ, new/JJ, stuff/NN]",51.5024317147,0.00466203052933
Go past Paul on 1st floor to find the best exhibits.,go past paul st floor find best exhibit,VB RB VB NN NN VB JJ NN,"[go/VB, past/RB, paul/VB, st/NN, floor/NN, find/VB, best/JJ, exhibit/NN]",51.4813292233,-0.0055809605092
"Go see the Crown Jewels early, before the queue starts. Have lunch before 12 at the Cafe. The lamb and rice was excellent. Then, see the White Tower while everyone else is having lunch.",go see crown jewel early queue start have lunch before cafe lamb rice be excellent then see white tower everyone else be have lunch,VB VB NN NN RB NN NN VB NN RB NN NN NN VB JJ RB VB JJ NN NN RB VB VB NN,"[go/VB, see/VB, crown/NN, jewel/NN, early/RB, queue/NN, start/NN, have/VB, lunch/NN, before/RB, cafe/NN, lamb/NN, rice/NN, be/VB, excellent/JJ, then/RB, see/VB, white/JJ, tower/NN, everyone/NN, else/RB, be/VB, have/VB, lunch/NN]",51.5086257738,-0.0754760702378
Amazing exhibit,amazing exhibit,JJ NN,"[amazing/JJ, exhibit/NN]",51.5072101735,0.0167774156589
"Art off the beaten track in Bow, East London, just keep an eye on their schedule of exhibits - http://www.bowarts.org/nunnery",art beaten track bow east london just keep eye schedule exhibit http www bowart org nunnery,NN JJ NN NN RB NN RB VB NN NN NN NN VB NN JJ NN,"[art/NN, beaten/JJ, track/NN, bow/NN, east/RB, london/NN, just/RB, keep/VB, eye/NN, schedule/NN, exhibit/NN, http/NN, www/VB, bowart/NN, org/JJ, nunnery/NN]",51.5292141882,-0.0169734915194
The boat itself is nice but the exhibit is not so interesting.,boat be nice exhibit be not so interesting,NN VB JJ NN VB RB RB JJ,"[boat/NN, be/VB, nice/JJ, exhibit/NN, be/VB, not/RB, so/RB, interesting/JJ]",51.482812733,-0.00961303710938
"Err. You mean the original translation ""hardware"" right? 😜",err mean original translation hardware right,NN VB JJ NN NN RB,"[err/NN, mean/VB, original/JJ, translation/NN, hardware/NN, right/RB]",51.519302493,-0.127416422027
Give them to greece!!!!,give greece,VB NN,"[give/VB, greece/NN]",51.518977266,-0.127983914089
Very interesting exhibits about the early days of astronomy. Check out Yuri Gagarin's statue.,very interesting exhibit early day astronomy check yuri gagarin statue,RB JJ NN JJ NN NN VB NN NN NN,"[very/RB, interesting/JJ, exhibit/NN, early/JJ, day/NN, astronomy/NN, check/VB, yuri/NN, gagarin/NN, statue/NN]",51.4771332098,-0.00075101852417
It's not just the meridian line that you are paying 7 pounds for. Museum exhibit makes it worth the cost. Take your time. You could easily spend 2 hours here.,not just meridian line be pay pound museum exhibit make worth cost take time easily spend hour here,RB RB NN NN VB VB NN NN NN VB VB NN VB NN RB VB NN RB,"[not/RB, just/RB, meridian/NN, line/NN, be/VB, pay/VB, pound/NN, museum/NN, exhibit/NN, make/VB, worth/VB, cost/NN, take/VB, time/NN, easily/RB, spend/VB, hour/NN, here/RB]",51.4779432265,-0.00164451601912
Brilliant exhibition! VIP section well worth it.,brilliant exhibition vip section well,JJ NN NN NN RB,"[brilliant/JJ, exhibition/NN, vip/NN, section/NN, well/RB]",51.504177,0.0035750493
Like going to 100 museums in one go. Perfect,go museum go perfect,VB NN VB JJ,"[go/VB, museum/NN, go/VB, perfect/JJ]",51.525502,-0.148811
Seasonal butterfly house. A lovely 30mins and some beautiful creatures. Open until mid-September,seasonal butterfly house lovely mins beautiful creature open mid september,JJ NN NN JJ NN JJ NN JJ JJ NN,"[seasonal/JJ, butterfly/NN, house/NN, lovely/JJ, mins/NN, beautiful/JJ, creature/NN, open/JJ, mid/JJ, september/NN]",51.496014,-0.17446093
Nothing much interesting. It can be funny for little kids. Just a few facts about tower exotic animals collection and some interactive boards which help you to understand the question better.,nothing much interesting be funny little kid just few fact tower exotic animal collection interactive board help understand question better,NN JJ JJ VB JJ JJ NN RB JJ NN NN JJ NN NN JJ NN VB VB NN RB,"[nothing/NN, much/JJ, interesting/JJ, be/VB, funny/JJ, little/JJ, kid/NN, just/RB, few/JJ, fact/NN, tower/NN, exotic/JJ, animal/NN, collection/NN, interactive/JJ, board/NN, help/VB, understand/VB, question/NN, better/RB]",51.5084776551,-0.0755163841686
Don't miss the storyboards and concept artwork upstairs. Amazing detail in them all.,don miss storyboard concept artwork upstairs amazing detail,VB VB NN NN NN JJ JJ NN,"[don/VB, miss/VB, storyboard/NN, concept/NN, artwork/NN, upstairs/JJ, amazing/JJ, detail/NN]",51.5123890601,-0.121110735314
A little underwhelming,little underwhelming,JJ NN,"[little/JJ, underwhelming/NN]",51.5053843438,-0.187685982377
Please do not feed the T.rex,please do not feed rex,VB VB RB VB NN,"[please/VB, do/VB, not/RB, feed/VB, rex/NN]",51.496335084,-0.17642551251
Loads of piers and artifacts from one of the 7 wonders of the ancient world,load pier artifact wonder ancient world,NN NN NN NN JJ NN,"[load/NN, pier/NN, artifact/NN, wonder/NN, ancient/JJ, world/NN]",51.5193443298,-0.127260759473
Massive statue from the Easter Islands,massive statue easter island,JJ NN NN NN,"[massive/JJ, statue/NN, easter/NN, island/NN]",51.5198792945,-0.127372741699
Korean arts,korean art,NN NN,"[korean/NN, art/NN]",51.520068958,-0.127662030741
Asian arts,asian art,JJ NN,"[asian/JJ, art/NN]",51.520136,-0.127747
We hand over our data willingly in return for services. But do we really appreciate just how much data we are sharing with the world around us? Thought provoking.,hand datum willingly return service do really appreciate just much data be share world think provoke,NN NN RB NN NN VB RB VB RB JJ NN VB VB NN VB VB,"[hand/NN, datum/NN, willingly/RB, return/NN, service/NN, do/VB, really/RB, appreciate/VB, just/RB, much/JJ, data/NN, be/VB, share/VB, world/NN, think/VB, provoke/VB]",51.512454,-0.128836
A walk in JK Rawlings mind,walk rawling mind,NN NN NN,"[walk/NN, rawling/NN, mind/NN]",51.529684,-0.127597
"Bilime gercekten merakliysaniz, bir gün planlayin.",bilime gercekten merakliysaniz bir gün planlayin,NN VB JJ NN NN NN,"[bilime/NN, gercekten/VB, merakliysaniz/JJ, bir/NN, gün/NN, planlayin/NN]",51.496117,-0.17531556
"The gorillas at feeding time can be very entertaining, especially the silverback, he's crazy!",gorilla feeding time be very entertaining especially silverback crazy,NN JJ NN VB RB NN RB NN JJ,"[gorilla/NN, feeding/JJ, time/NN, be/VB, very/RB, entertaining/NN, especially/RB, silverback/NN, crazy/JJ]",51.3481645194,-0.315086531664
Brilliant. So well thought out; even the stairs to the slide are 1/2 height so littl'uns can manage on their own. Can never get LM to leave! (FYI cafe not great.) Check website for events/story times.,brilliant so well think even stair slide be height so littl un manage own never get lm leave fyi cafe not great check website event story time,JJ RB RB VB RB NN NN VB NN RB JJ NN VB JJ RB VB VB VB JJ NN RB JJ NN NN NN NN NN,"[brilliant/JJ, so/RB, well/RB, think/VB, even/RB, stair/NN, slide/NN, be/VB, height/NN, so/RB, littl/JJ, un/NN, manage/VB, own/JJ, never/RB, get/VB, lm/VB, leave/VB, fyi/JJ, cafe/NN, not/RB, great/JJ, check/NN, website/NN, event/NN, story/NN, time/NN]",51.539106516,-0.000351087343517
"Mid scale theatre, lots of short run productions from touring companies across the UK. Very relaxed atmostphere, interesting shows, low cost tickets, locally brewed beer!",mid scale theatre lot short run production tour company uk very relaxed interesting show low cost ticket locally brew beer,JJ NN NN NN JJ NN NN VB NN NN RB JJ JJ NN JJ NN NN RB VB NN,"[mid/JJ, scale/NN, theatre/NN, lot/NN, short/JJ, run/NN, production/NN, tour/VB, company/NN, uk/NN, very/RB, relaxed/JJ, interesting/JJ, show/NN, low/JJ, cost/NN, ticket/NN, locally/RB, brew/VB, beer/NN]",51.4795306132,-0.00763741502082
Don't miss the flight sim - definitely worth the money!,don miss flight sim definitely money,VB VB NN NN RB NN,"[don/VB, miss/VB, flight/NN, sim/NN, definitely/RB, money/NN]",51.4999151611,0.00834788821224
Great for kids,great kid,JJ NN,"[great/JJ, kid/NN]",51.5429440045,0.00170042126008
"You'll need to be a subsciber of Sky and prebook your admission at sky.com before attending here, as it's for members only with limited space inside.",ll need be subsciber sky prebook admission sky com attend here member only limited space,VB RB VB NN NN VB NN NN NN VB RB NN RB JJ NN,"[ll/VB, need/RB, be/VB, subsciber/NN, sky/NN, prebook/VB, admission/NN, sky/NN, com/NN, attend/VB, here/RB, member/NN, only/RB, limited/JJ, space/NN]",51.5023680696,0.00240854359453
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus !!!!,claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN,"[claim/VB, free/JJ, deposit/NN, play/NN, great/JJ, way/NN, explore/VB, fun/NN, online/JJ, meccabingo/NN, http/NN, ow/NN, ly/NN, whfut/VB, meccabonus/NN]",51.5326054528,0.137629313227
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus '''',claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN,"[claim/VB, free/JJ, deposit/NN, play/NN, great/JJ, way/NN, explore/VB, fun/NN, online/JJ, meccabingo/NN, http/NN, ow/NN, ly/NN, whfut/VB, meccabonus/NN]",51.5702014344,0.128724575043
"Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus """"",claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN,"[claim/VB, free/JJ, deposit/NN, play/NN, great/JJ, way/NN, explore/VB, fun/NN, online/JJ, meccabingo/NN, http/NN, ow/NN, ly/NN, whfut/VB, meccabonus/NN]",51.450967,0.046834
Go check it out...,go check out,VB VB RB,"[go/VB, check/VB, out/RB]",51.501218515,0.00587097969592
"Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus ,,,,",claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN,"[claim/VB, free/JJ, deposit/NN, play/NN, great/JJ, way/NN, explore/VB, fun/NN, online/JJ, meccabingo/NN, http/NN, ow/NN, ly/NN, whfut/VB, meccabonus/NN]",51.5631498418,0.215162582953
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus ____,claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN,"[claim/VB, free/JJ, deposit/NN, play/NN, great/JJ, way/NN, explore/VB, fun/NN, online/JJ, meccabingo/NN, http/NN, ow/NN, ly/NN, whfut/VB, meccabonus/NN]",51.5795796429,0.185475884156
Great place to kill time if you can spare the cash.,great place kill time spare cash,JJ NN VB NN VB NN,"[great/JJ, place/NN, kill/VB, time/NN, spare/VB, cash/NN]",51.5374514845,-0.00179705528075
