tips,ll,lng,lat,clean_stem,lem_words,lem_type
"Cool gallery, worth a visit","51.500323233,0.00465396977695",51.500323233,51.500323233,"[cool, galleri, worth, visit]",cool gallery worth visit,JJ NN VB NN
"Described as ‘probably the finest dining hall in the Western world’, this is also where Lord Nelson lay in state after his death at the Battle of Trafalgar. Thousands came to pay their respects.","51.4829669049,-0.00609366277314",51.4829669049,51.4829669049,"[describ, probabl, finest, dine, hall, western, world, thi, also, lord, nelson, lay, state, hi, death, battl, trafalgar, thousand, came, pay, respect]",describe probably finest dine hall western world be also lord nelson lay state death battle trafalgar thousand come pay respect,VB RB JJ VB NN JJ NN VB RB NN NN VB NN NN NN NN NN VB VB NN
"In 1616 Anne of Denmark, wife of James I, commissioned Inigo Jones to build the Queen’s House, the first fully Classical building in England. The house now forms part of the National Maritime Museum.","51.4812759906,-0.00394821166992",51.4812759906,51.4812759906,"[ann, denmark, wife, jame, commiss, inigo, jone, build, queen, hous, first, fulli, classic, build, england, hous, form, part, nation, maritim, museum]",anne denmark wife jame commission inigo jone build queen house first fully classical building england house now form part national maritime museum,NN NN NN NN VB NN NN VB NN NN JJ RB JJ NN NN NN RB NN NN JJ JJ NN
"Really good coffee, if its busy its still worth the wait. Great food too, friendly staff and amazing windows upstairs... Shame about the view!","51.5400824936,-0.0209389374755",51.5400824936,51.5400824936,"[realli, good, coffe, busi, still, worth, wait, great, food, friendli, staff, amaz, window, upstair, shame, view]",really good coffee busy still worth wait great food too friendly staff amazing window upstairs shame view,RB JJ NN JJ RB VB NN JJ NN RB JJ NN JJ NN JJ NN NN
The pizzas look amazing. Will be back to try ...  And cheap good prosecco,"51.543053251,-0.0220629993382",51.543053251,51.543053251,"[pizza, look, amaz, back, tri, cheap, good, prosecco]",pizza look amazing be back try cheap good prosecco,NN VB JJ VB RB VB JJ JJ NN
Nice little gallery with rotating exhibitions.,"51.5292141882,-0.0169734915194",51.5292141882,51.5292141882,"[nice, littl, galleri, rotat, exhibit]",nice little gallery rotate exhibition,JJ JJ NN VB NN
Nice historic images of London. It's worth popping in.,"51.5433047834,-0.00827849188575",51.5433047834,51.5433047834,"[nice, histor, imag, london, worth, pop]",nice historic image london pop,JJ JJ NN NN VB
"Great coffee, very reasonably priced small foods, great cake. Lovely place to work","51.5126513276,-0.0385495885481",51.5126513276,51.5126513276,"[great, coffe, veri, reason, price, small, food, great, cake, love, place, work]",great coffee very reasonably price small food great cake lovely place work,JJ NN RB RB VB JJ NN JJ NN JJ NN VB
"If you love bands but want something different in the way of artwork to represent your love for them, this is the place to go. Limited ed prints. Tour posters with a twist. It has it all!","51.4816676005,-0.00909757663917",51.4816676005,51.4816676005,"[love, band, want, someth, differ, way, artwork, repres, love, thi, place, go, limit, ed, print, tour, poster, twist, ha]",love band want something different way artwork represent love be place go limited ed print tour poster twist have,VB NN VB NN JJ NN NN VB NN VB NN VB JJ NN NN NN NN NN VB
"Lovely community centre. Sometimes open to the public as a bar. Local bands play and the wine is nice. Nice informal, don't feel rushed.","51.5502521975,-0.0429009357443",51.5502521975,51.5502521975,"[love, commun, centr, sometim, open, public, bar, local, band, play, wine, nice, nice, inform, feel, rush]",lovely community centre sometimes open public bar local band play wine be nice nice informal do not feel rushed,JJ NN NN RB JJ JJ NN JJ NN NN NN VB JJ JJ JJ VB RB VB JJ
Fantastic brunch. Great coffee and local beer. Amazing hot chocolate. Love it here.,"51.5353874141,-0.0132037689468",51.5353874141,51.5353874141,"[fantast, brunch, great, coffe, local, beer, amaz, hot, chocol, love]",fantastic brunch great coffee local beer amazing hot chocolate love here,JJ NN JJ NN JJ NN JJ JJ NN VB RB
"The world’s only museum dedicated to fans. It’s a tiny space consisting of two rooms with an overall collection of 3,500 antique fans, some of which date as far back as the eleventh century.","51.4792666151,-0.00799764466221",51.4792666151,51.4792666151,"[world, onli, museum, dedic, fan, tini, space, consist, two, room, overal, collect, antiqu, fan, date, far, back, eleventh, centuri]",world only museum dedicate fan tiny space consist room overall collection antique fan date far back eleventh century,NN JJ NN VB NN JJ NN VB NN JJ NN JJ NN NN RB RB JJ NN
Atm there's Bao-Hoo art show at the gallery next door,"51.5290326145,-0.0178915234045",51.5290326145,51.5290326145,"[atm, art, show, galleri, next, door]",atm be bao hoo art show gallery next door,NN VB JJ NN NN NN NN JJ NN
Tell people that the toilet in the end police cell is haunted and then flush the loo from the outside while they're in there. Mwa ha haaaaaa!,"51.4794793158,-0.0317190910236",51.4794793158,51.4794793158,"[tell, peopl, toilet, end, polic, cell, haunt, flush, loo, outsid, mwa, ha, haaaaaa]",tell person toilet end police cell be haunt then flush loo outside be there mwa haaaaaa,VB NN NN NN NN NN VB VB RB VB NN JJ VB RB JJ NN
Great landlord has injected new life in to this place. Traditional boozer. Lewisham's Pub of the Year 2010. Basement art gallery called Tank too.,"51.4564845734,-0.0215023055214",51.4564845734,51.4564845734,"[great, landlord, ha, inject, new, life, thi, place, tradit, boozer, lewisham, pub, year, basement, art, galleri, call, tank]",great landlord have inject new life place traditional boozer lewisham pub year basement art gallery call tank too,JJ NN VB VB JJ NN NN JJ NN NN NN NN NN NN NN VB NN RB
Magical place for weekend trip. Great for music lovers! You can also go on top of the lighthouse and have a view of Canary Wharf skyscrapers 💓,"51.5077109093,0.00820328504559",51.5077109093,51.5077109093,"[magic, place, weekend, trip, great, music, lover, also, go, top, lighthous, view, canari, wharf, skyscrap]",magical place weekend trip great music lover also go top lighthouse have view canary wharf skyscraper,JJ NN NN NN JJ NN NN RB VB NN NN VB NN JJ NN NN
Lovely light airy studios and an Arts Award training centre. The Nunnery in particular is a wonderful space for gallery exhibitions and events.,"51.5289472449,-0.0175755939443",51.5289472449,51.5289472449,"[love, light, airi, studio, art, award, train, centr, nunneri, particular, wonder, space, galleri, exhibit, event]",lovely light airy studio art award training centre nunnery particular be wonderful space gallery exhibition event,JJ JJ JJ NN NN NN NN NN NN JJ VB JJ NN NN NN NN
Be sure to visit the roof terrace for great views.,"51.539364,-0.02144",51.539364,51.539364,"[sure, visit, roof, terrac, great, view]",be sure visit roof terrace great view,VB JJ VB NN NN JJ NN
Super interesting gallery nearby the canal!,"51.5267560654,-0.03790964228",51.5267560654,51.5267560654,"[super, interest, galleri, nearbi, canal]",super interesting gallery nearby canal,JJ JJ NN RB NN
The new breakfast frontier! The food is amazing and the atmosphere is very good. Amazing staff. Highly recommended!!!,"51.531273705,-0.0386023521423",51.531273705,51.531273705,"[new, breakfast, frontier, food, amaz, atmospher, veri, good, amaz, staff, highli, recommend]",new breakfast frontier food be amazing atmosphere be very good amazing staff highly recommend,JJ NN NN NN VB JJ NN VB RB JJ JJ NN RB VB
"Bar staff don't know how to work a bar, slow & clueless.","51.5326713029,0.137593099739",51.5326713029,51.5326713029,"[bar, staff, know, work, bar, slow, clueless]",bar staff do not know work bar slow clueless,NN NN VB RB VB VB NN VB NN
Buy any third game for just £1 (pp),"51.4627149497,-0.0085972969013",51.4627149497,51.4627149497,"[buy, ani, third, game, pp]",buy third game just pp,VB JJ NN RB VB
Great milkshakes - Reese's & Oreo are both a hit.,"51.5427293308,-0.00726056378661",51.5427293308,51.5427293308,"[great, milkshak, rees, oreo, hit]",great milkshake reese oreo be hit,JJ NN VB JJ VB NN
Free foosball in the bar!,"51.575568781,0.179667461709",51.575568781,51.575568781,"[free, foosbal, bar]",free foosball bar,JJ NN NN
"Trinity Chapel Church is also located in Jenkins Lane, at the former bowling alley....","51.5264329978,0.0804568928427",51.5264329978,51.5264329978,"[triniti, chapel, church, also, locat, jenkin, lane, former, bowl, alley]",trinity chapel church be also locate jenkins lane former bowling alley,NN NN NN VB RB VB JJ NN JJ NN NN
"Book in advance, lanes get filled quick! Especially on the weekends.","51.4567017283,0.138167681493",51.4567017283,51.4567017283,"[book, advanc, lane, get, fill, quick, especi, weekend]",book advance lane get fill quick especially weekend,NN NN NN VB VB JJ RB NN
Quiet like a graveyard on a Thursday night. Bar staff are hopeless at making drinks.,"51.5036271483,0.00328302383423",51.5036271483,51.5036271483,"[quiet, like, graveyard, thursday, night, bar, staff, hopeless, make, drink]",quiet graveyard thursday night bar staff be hopeless make drink,JJ NN NN NN NN NN VB JJ VB NN
Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,"51.4963091031,-0.0430503430566",51.4963091031,51.4963091031,"[realli, good, valu, money, hold, birthday, parti, littl, one, bowl, shoe, red, black, go, colour, fine]",really good value money hold birthday party little one bowling shoe be red black go colour be fine,RB JJ NN NN VB NN NN JJ NN NN NN VB JJ JJ VB NN VB JJ
you can trade here with john lewis pillows,"51.5426501912,-0.00641376614963",51.5426501912,51.5426501912,"[trade, john, lewi, pillow]",trade here john lewis pillow,VB RB NN NN NN
I'm not entire sold but aside from The Cow and the casino this is probably the only other place in the new Westfield where you can grab a cheeky pint. The selection on offer is unrivalled.,"51.5441193924,-0.00881275504842",51.5441193924,51.5441193924,"[entir, sold, asid, cow, casino, thi, probabl, onli, place, new, westfield, grab, cheeki, pint, select, offer, unrival]",not entire sold aside cow casino be probably only other place new westfield grab cheeky pint selection offer be unrivalled,RB JJ NN RB NN NN VB RB JJ JJ NN JJ VB VB JJ NN NN NN VB JJ
Fucking awful service. Go to the casino instead if you want sport,"51.5421796199,-0.00826416559531",51.5421796199,51.5421796199,"[fuck, aw, servic, go, casino, instead, want, sport]",fucking awful service go casino instead want sport,JJ JJ NN VB NN RB VB NN
"Always some great independent touring theatre productions, poetry and open mic nights.","51.4777402352,-0.0276079847273",51.4777402352,51.4777402352,"[alway, great, independ, tour, theatr, product, poetri, open, mic, night]",always great independent touring theatre production poetry open mic night,RB JJ JJ NN NN NN NN JJ JJ NN
Check out the Sunday Special for awesome comedians every week!,"51.4814667231,-0.0116150324026",51.4814667231,51.4814667231,"[check, sunday, special, awesom, comedian, everi, week]",check sunday special awesome comedian week,NN NN JJ JJ NN NN
"Refurbished in summer 2015, it's far more upbeat, with interior & exterior (especially garden) done up very nicely. Great atmosphere & service, good drinks & food. Quality comedy club nights launched.","51.4809795815,0.0792239675782",51.4809795815,51.4809795815,"[refurbish, summer, far, upbeat, interior, exterior, especi, garden, done, veri, nice, great, atmospher, servic, good, drink, food, qualiti, comedi, club, night, launch]",refurbish summer be far more upbeat interior exterior especially garden do very nicely great atmosphere service good drink food quality comedy club night launch,VB NN VB RB RB JJ JJ JJ RB NN VB RB RB JJ NN NN JJ NN NN NN NN NN NN VB
What a wonderful afternoon entertainment with very nice sandwiches and cakes,"51.5026354061,0.0428804755211",51.5026354061,51.5026354061,"[wonder, afternoon, entertain, veri, nice, sandwich, cake]",wonderful afternoon entertainment very nice sandwich cake,JJ NN NN RB JJ NN NN
Two for one cocktails good value,"51.5022613846,0.00409829390562",51.5022613846,51.5022613846,"[two, one, cocktail, good, valu]",cocktail good value,NN JJ NN
The AR Rahman concert was great. Amazing hall with huge seating capacity.,"51.5029737935,0.00409617445395",51.5029737935,51.5029737935,"[ar, rahman, concert, wa, great, amaz, hall, huge, seat, capac]",ar rahman concert be great amazing hall huge seating capacity,JJ NN NN VB JJ JJ NN JJ NN NN
its gorgeous when your drunk,"51.5128070746,-0.044016279425",51.5128070746,51.5128070746,"[gorgeou, drunk]",gorgeous drunk,JJ NN
Love this place. Variety choice for food. Enjoy movie in cineworld. And concert hall. Exhibition. Or have some drinking session. Occasionally with skate available. Sometime unexpected new stuffs.,"51.5024317147,0.00466203052933",51.5024317147,51.5024317147,"[love, thi, place, varieti, choic, food, enjoy, movi, cineworld, concert, hall, exhibit, drink, session, occasion, skate, avail, sometim, unexpect, new, stuff]",love place variety choice food enjoy movie cineworld concert hall exhibition have drink session occasionally skate available sometime unexpected new stuff,VB NN NN NN NN VB NN NN NN NN NN VB VB NN RB VB JJ RB JJ JJ NN
Go past Paul on 1st floor to find the best exhibits.,"51.4813292233,-0.0055809605092",51.4813292233,51.4813292233,"[go, past, paul, floor, find, best, exhibit]",go past paul st floor find best exhibit,VB RB VB NN NN VB JJ NN
"Go see the Crown Jewels early, before the queue starts. Have lunch before 12 at the Cafe. The lamb and rice was excellent. Then, see the White Tower while everyone else is having lunch.","51.5086257738,-0.0754760702378",51.5086257738,51.5086257738,"[go, see, crown, jewel, earli, befor, queue, start, lunch, befor, cafe, lamb, rice, wa, excel, see, white, tower, everyon, els, lunch]",go see crown jewel early queue start have lunch before cafe lamb rice be excellent then see white tower everyone else be have lunch,VB VB NN NN RB NN NN VB NN RB NN NN NN VB JJ RB VB JJ NN NN RB VB VB NN
Amazing exhibit,"51.5072101735,0.0167774156589",51.5072101735,51.5072101735,"[amaz, exhibit]",amazing exhibit,JJ NN
"Art off the beaten track in Bow, East London, just keep an eye on their schedule of exhibits - http://www.bowarts.org/nunnery","51.5292141882,-0.0169734915194",51.5292141882,51.5292141882,"[art, beaten, track, bow, east, london, keep, eye, schedul, exhibit, http]",art beaten track bow east london just keep eye schedule exhibit http www bowart org nunnery,NN JJ NN NN RB NN RB VB NN NN NN NN VB NN JJ NN
The boat itself is nice but the exhibit is not so interesting.,"51.482812733,-0.00961303710938",51.482812733,51.482812733,"[boat, nice, exhibit, interest]",boat be nice exhibit be not so interesting,NN VB JJ NN VB RB RB JJ
"Err. You mean the original translation ""hardware"" right? 😜","51.519302493,-0.127416422027",51.519302493,51.519302493,"[err, mean, origin, translat, hardwar, right]",err mean original translation hardware right,NN VB JJ NN NN RB
Give them to greece!!!!,"51.518977266,-0.127983914089",51.518977266,51.518977266,"[give, greec]",give greece,VB NN
Very interesting exhibits about the early days of astronomy. Check out Yuri Gagarin's statue.,"51.4771332098,-0.00075101852417",51.4771332098,51.4771332098,"[veri, interest, exhibit, earli, day, astronomi, check, yuri, gagarin, statu]",very interesting exhibit early day astronomy check yuri gagarin statue,RB JJ NN JJ NN NN VB NN NN NN
It's not just the meridian line that you are paying 7 pounds for. Museum exhibit makes it worth the cost. Take your time. You could easily spend 2 hours here.,"51.4779432265,-0.00164451601912",51.4779432265,51.4779432265,"[meridian, line, pay, pound, museum, exhibit, make, worth, cost, take, time, could, easili, spend, hour]",not just meridian line be pay pound museum exhibit make worth cost take time easily spend hour here,RB RB NN NN VB VB NN NN NN VB VB NN VB NN RB VB NN RB
Brilliant exhibition! VIP section well worth it.,"51.504177,0.0035750493",51.504177,51.504177,"[brilliant, exhibit, vip, section, well, worth]",brilliant exhibition vip section well,JJ NN NN NN RB
Like going to 100 museums in one go. Perfect,"51.525502,-0.148811",51.525502,51.525502,"[like, go, museum, one, go, perfect]",go museum go perfect,VB NN VB JJ
Seasonal butterfly house. A lovely 30mins and some beautiful creatures. Open until mid-September,"51.496014,-0.17446093",51.496014,51.496014,"[season, butterfli, hous, love, beauti, creatur, open]",seasonal butterfly house lovely mins beautiful creature open mid september,JJ NN NN JJ NN JJ NN JJ JJ NN
Nothing much interesting. It can be funny for little kids. Just a few facts about tower exotic animals collection and some interactive boards which help you to understand the question better.,"51.5084776551,-0.0755163841686",51.5084776551,51.5084776551,"[noth, much, interest, funni, littl, kid, fact, tower, exot, anim, collect, interact, board, help, understand, question, better]",nothing much interesting be funny little kid just few fact tower exotic animal collection interactive board help understand question better,NN JJ JJ VB JJ JJ NN RB JJ NN NN JJ NN NN JJ NN VB VB NN RB
Don't miss the storyboards and concept artwork upstairs. Amazing detail in them all.,"51.5123890601,-0.121110735314",51.5123890601,51.5123890601,"[miss, storyboard, concept, artwork, upstair, amaz, detail]",don miss storyboard concept artwork upstairs amazing detail,VB VB NN NN NN JJ JJ NN
A little underwhelming,"51.5053843438,-0.187685982377",51.5053843438,51.5053843438,"[littl, underwhelm]",little underwhelming,JJ NN
Please do not feed the T.rex,"51.496335084,-0.17642551251",51.496335084,51.496335084,"[pleas, feed]",please do not feed rex,VB VB RB VB NN
Loads of piers and artifacts from one of the 7 wonders of the ancient world,"51.5193443298,-0.127260759473",51.5193443298,51.5193443298,"[load, pier, artifact, one, wonder, ancient, world]",load pier artifact wonder ancient world,NN NN NN NN JJ NN
Massive statue from the Easter Islands,"51.5198792945,-0.127372741699",51.5198792945,51.5198792945,"[massiv, statu, easter, island]",massive statue easter island,JJ NN NN NN
Korean arts,"51.520068958,-0.127662030741",51.520068958,51.520068958,"[korean, art]",korean art,NN NN
Asian arts,"51.520136,-0.127747",51.520136,51.520136,"[asian, art]",asian art,JJ NN
We hand over our data willingly in return for services. But do we really appreciate just how much data we are sharing with the world around us? Thought provoking.,"51.512454,-0.128836",51.512454,51.512454,"[hand, data, willingli, return, servic, realli, appreci, much, data, share, world, around, us, thought, provok]",hand datum willingly return service do really appreciate just much data be share world think provoke,NN NN RB NN NN VB RB VB RB JJ NN VB VB NN VB VB
A walk in JK Rawlings mind,"51.529684,-0.127597",51.529684,51.529684,"[walk, jk, rawl, mind]",walk rawling mind,NN NN NN
"Bilime gercekten merakliysaniz, bir gün planlayin.","51.496117,-0.17531556",51.496117,51.496117,"[bilim, gercekten, merakliysaniz, bir, gün, planlayin]",bilime gercekten merakliysaniz bir gün planlayin,NN VB JJ NN NN NN
"The gorillas at feeding time can be very entertaining, especially the silverback, he's crazy!","51.3481645194,-0.315086531664",51.3481645194,51.3481645194,"[gorilla, feed, time, veri, entertain, especi, silverback, crazi]",gorilla feeding time be very entertaining especially silverback be crazy,NN JJ NN VB RB NN RB NN VB JJ
Brilliant. So well thought out; even the stairs to the slide are 1/2 height so littl'uns can manage on their own. Can never get LM to leave! (FYI cafe not great.) Check website for events/story times.,"51.539106516,-0.000351087343517",51.539106516,51.539106516,"[brilliant, well, thought, even, stair, slide, height, manag, never, get, lm, leav, fyi, cafe, great, check, websit, time]",brilliant so well think even stair slide be height so littl un manage own never get lm leave fyi cafe not great check website event story time,JJ RB RB VB RB NN NN VB NN RB JJ NN VB JJ RB VB VB VB JJ NN RB JJ NN NN NN NN NN
"Mid scale theatre, lots of short run productions from touring companies across the UK. Very relaxed atmostphere, interesting shows, low cost tickets, locally brewed beer!","51.4795306132,-0.00763741502082",51.4795306132,51.4795306132,"[mid, scale, theatr, lot, short, run, product, tour, compani, across, uk, veri, relax, atmostpher, interest, show, low, cost, ticket, local, brew, beer]",mid scale theatre lot short run production tour company uk very relaxed interesting show low cost ticket locally brew beer,JJ NN NN NN JJ NN NN VB NN NN RB JJ JJ NN JJ NN NN RB VB NN
Don't miss the flight sim - definitely worth the money!,"51.4999151611,0.00834788821224",51.4999151611,51.4999151611,"[miss, flight, sim, definit, worth, money]",don miss flight sim definitely money,VB VB NN NN RB NN
Great for kids,"51.5429440045,0.00170042126008",51.5429440045,51.5429440045,"[great, kid]",great kid,JJ NN
"You'll need to be a subsciber of Sky and prebook your admission at sky.com before attending here, as it's for members only with limited space inside.","51.5023680696,0.00240854359453",51.5023680696,51.5023680696,"[need, subscib, sky, prebook, admiss, befor, attend, member, onli, limit, space, insid]",ll need be subsciber sky prebook admission sky com attend here be member only limited space,VB RB VB NN NN VB NN NN NN VB RB VB NN RB JJ NN
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus !!!!,"51.5326054528,0.137629313227",51.5326054528,51.5326054528,"[claim, free, deposit, play, great, way, explor, fun, onlin, meccabingo, http, meccabonu]",claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus '''',"51.5702014344,0.128724575043",51.5702014344,51.5702014344,"[claim, free, deposit, play, great, way, explor, fun, onlin, meccabingo, http, meccabonu]",claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN
"Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus """"","51.450967,0.046834",51.450967,51.450967,"[claim, free, deposit, play, great, way, explor, fun, onlin, meccabingo, http, meccabonu]",claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN
Go check it out...,"51.501218515,0.00587097969592",51.501218515,51.501218515,"[go, check]",go check out,VB VB RB
"Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus ,,,,","51.5631498418,0.215162582953",51.5631498418,51.5631498418,"[claim, free, deposit, play, great, way, explor, fun, onlin, meccabingo, http, meccabonu]",claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus ____,"51.5795796429,0.185475884156",51.5795796429,51.5795796429,"[claim, free, deposit, play, great, way, explor, fun, onlin, meccabingo, http, meccabonu]",claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN
Great place to kill time if you can spare the cash.,"51.5374514845,-0.00179705528075",51.5374514845,51.5374514845,"[great, place, kill, time, spare, cash]",great place kill time spare cash,JJ NN VB NN VB NN
CIRCUS SCHOOL is a great way to wear out your kids,"51.4083443677,0.178445049034",51.4083443677,51.4083443677,"[circu, school, great, way, wear, kid]",circus school be great way wear kid,NN NN VB JJ NN VB NN
www.ButcherRowStudios.com These guys are good for recording your songs and stuff :),"51.5113332847,-0.0427436828613",51.5113332847,51.5113332847,"[guy, good, record, song, stuff]",www com guy be good record song stuff,VB NN NN VB JJ VB NN NN
Free Bingo on Thursdays :),"51.4961402371,-0.0432020602806",51.4961402371,51.4961402371,"[free, bingo, thursday]",free bingo thursday,JJ NN NN
Best place for karting in london😍,"51.5317916097,0.118738740859",51.5317916097,51.5317916097,"[best, place, kart]",best place kart london,JJ NN VB NN
One of the best carting places in London,"51.4942273312,0.0356307371386",51.4942273312,51.4942273312,"[one, best, cart, place, london]",best cart place london,JJ VB NN NN
Go super fast and dont use the break,"51.4928590973,0.286247256913",51.4928590973,51.4928590973,"[go, super, fast, dont, use, break]",go super fast dont use break,VB JJ NN VB VB JJ
"Good fun, good kart, good crew. Will recommend it to anyone!","51.4944917367,-0.0640749599665",51.4944917367,51.4944917367,"[good, fun, good, kart, good, crew, recommend, anyon]",good fun good kart good crew recommend anyone,JJ NN JJ NN JJ NN VB NN
"Remember to collect your full race report so you can see your lap times, average speed and the fastest driver of the session - a great date souvenir!","51.6183864191,-0.0448668193855",51.6183864191,51.6183864191,"[rememb, collect, full, race, report, see, lap, time, averag, speed, fastest, driver, session, great, date, souvenir]",remember collect full race report so see lap time average speed fastest driver session great date souvenir,NN VB JJ NN NN RB VB NN NN JJ NN JJ NN NN JJ NN NN
Waiting forevs 4 what??? No score sheets 😢,"51.517696246,-0.0303026791951",51.517696246,51.517696246,"[wait, forev, score, sheet]",wait forevs score sheet,VB JJ NN NN
I prefer the gas powered carts over the electric ones but still really fun,"51.5056583172,-0.255257701155",51.5056583172,51.5056583172,"[prefer, ga, power, cart, electr, one, still, realli, fun]",prefer gas power cart electric one still really fun,VB NN VB NN JJ NN RB RB NN
Great place for adults as well as children to enjoy gokarting,"51.3755679131,-0.268318",51.3755679131,51.3755679131,"[great, place, adult, well, children, enjoy, gokart]",great place adult as well child enjoy gokart,JJ NN NN RB RB NN VB VB
Nice track good location,"51.3756283554,-0.36218542099",51.3756283554,51.3756283554,"[nice, track, good, locat]",nice track good location,JJ NN JJ NN
14 October: Severndroog Castle is a folly which was built in 1784 as a memorial to William James of the East India Co. to commemorate the conquest of the castle off the coast of Malabar in the 1760s.,"51.4666953348,0.0600647073752",51.4666953348,51.4666953348,"[octob, severndroog, castl, folli, wa, built, memori, william, jame, east, india, commemor, conquest, castl, coast, malabar]",october severndroog castle be folly be build memorial william jame east india co commemorate conquest castle coast malabar,JJ NN NN VB NN VB VB NN NN NN JJ NN NN VB NN NN NN NN
Amazing Art Deco.,"51.4472272129,0.0485587120056",51.4472272129,51.4472272129,"[amaz, art, deco]",amazing art deco,JJ NN NN
You dont have to go inside there is a gate near the clock you can take photos there,"51.4779432265,-0.00164451601912",51.4779432265,51.4779432265,"[dont, go, insid, gate, near, clock, take, photo]",dont have go be gate clock take photo there,VB VB VB VB NN NN VB NN RB
"Designed by Sir Christopher Wren, the college was going to have an enormous dome in the middle, but Queen Mary II objected as it would block the view of the river from her house in Greenwich Park.","51.4832336577,-0.00557899475098",51.4832336577,51.4832336577,"[design, sir, christoph, wren, colleg, wa, go, enorm, dome, middl, queen, mari, ii, object, would, block, view, river, hous, greenwich, park]",design sir christopher wren college be go have enormous dome middle queen mary ii object block view river house greenwich park,VB NN NN VB NN VB VB VB JJ NN JJ NN JJ NN VB VB NN NN NN JJ NN
