venue_name,venue_id,rating,tips,cat_name,cat_id,ll
Asia Room,5710f795498e7d48914281c2,,Asian arts,Exhibit,56aa371be4b08b9a8d573532,"51.520136,-0.127747"
The Glass Room,59ef7f399ba3e518ea359765,,We hand over our data willingly in return for services. But do we really appreciate just how much data we are sharing with the world around us? Thought provoking.,Exhibit,56aa371be4b08b9a8d573532,"51.512454,-0.128836"
Harry Potter - A History of Magic Exhibition,59e89727286fda03b55be702,,A walk in JK Rawlings mind,Exhibit,56aa371be4b08b9a8d573532,"51.529684,-0.127597"
Balenciaga: Shaping Fashion Exhibition,59a97cfcfd9d7336304bea67,,,Exhibit,56aa371be4b08b9a8d573532,"51.496539,-0.172955"
The Vault (Natural History Museum),570505bb498efb51ba37a8bf,,"Bilime gercekten merakliysaniz, bir gün planlayin.",Exhibit,56aa371be4b08b9a8d573532,"51.496117,-0.17531556"
Trail of the Kings,4ccc14a5c0378cfa97748348,,"The gorillas at feeding time can be very entertaining, especially the silverback, he's crazy!",Exhibit,56aa371be4b08b9a8d573532,"51.3481645194,-0.315086531664"
Discover Children's Story Centre,4ac518d4f964a520b1a720e3,7.2,Brilliant. So well thought out; even the stairs to the slide are 1/2 height so littl'uns can manage on their own. Can never get LM to leave! (FYI cafe not great.) Check website for events/story times.,General Entertainment,4bf58dd8d48988d1f1931735,"51.539106516,-0.000351087343517"
Greenwich Theatre,4bf820095317a593103bff7e,7.5,"Mid scale theatre, lots of short run productions from touring companies across the UK. Very relaxed atmostphere, interesting shows, low cost tickets, locally brewed beer!",General Entertainment,4bf58dd8d48988d1f1931735,"51.4795306132,-0.00763741502082"
UX London,51653ad2e4b0119d51cc58da,7.3,,General Entertainment,4bf58dd8d48988d1f1931735,"51.4800869259,-0.0191409346758"
Emirates Aviation Experience,5319f34b498e4b47d4f0c59d,6.7,Don't miss the flight sim - definitely worth the money!,General Entertainment,4bf58dd8d48988d1f1931735,"51.4999151611,0.00834788821224"
Stratford Circus,4ce3de9fdc85a143573148d2,6.9,Great for kids,General Entertainment,4bf58dd8d48988d1f1931735,"51.5429440045,0.00170042126008"
Sky Backstage,4eb6dc16d3e3644ca6d341ed,6.9,"You'll need to be a subsciber of Sky and prebook your admission at sky.com before attending here, as it's for members only with limited space inside.",General Entertainment,4bf58dd8d48988d1f1931735,"51.5023680696,0.00240854359453"
Mecca Bingo,4cf43e6ecfb08eec780ef2be,,Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus !!!!,General Entertainment,4bf58dd8d48988d1f1931735,"51.5326054528,0.137629313227"
Better Extreme,56436780498eac8228ee79a1,,,General Entertainment,4bf58dd8d48988d1f1931735,"51.5458772341,0.111329020164"
Queen Record,56057ad3498e93e855941a4e,,,General Entertainment,4bf58dd8d48988d1f1931735,"51.4883445767,0.0558972358704"
Mecca Bingo,50118e5990e766f3b3ce96f0,,Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus '''',General Entertainment,4bf58dd8d48988d1f1931735,"51.5702014344,0.128724575043"
Mecca Bingo,4e935eb802d5dcbe607272cb,,"Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus """"",General Entertainment,4bf58dd8d48988d1f1931735,"51.450967,0.046834"
Seatwave,4f1f198ce4b01a2ba117d2cd,,Go check it out...,General Entertainment,4bf58dd8d48988d1f1931735,"51.501218515,0.00587097969592"
Sky 3D Gallery,4d972fd00caaa1431eed8ab3,,,General Entertainment,4bf58dd8d48988d1f1931735,"51.5021116,0.00435395846178"
Mecca Bingo,4d5c20732a31a1cdef9144f1,,"Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus ,,,,",General Entertainment,4bf58dd8d48988d1f1931735,"51.5631498418,0.215162582953"
Mecca Bingo,4d52f30371548cfa46012d9a,,Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus ____,General Entertainment,4bf58dd8d48988d1f1931735,"51.5795796429,0.185475884156"
adhoc entertainment,57b18963498e68e317668496,,,General Entertainment,4bf58dd8d48988d1f1931735,"51.5836292,0.1857668"
Gala Bingo,4c7a9a17a86837047e1b144d,,Great place to kill time if you can spare the cash.,General Entertainment,4bf58dd8d48988d1f1931735,"51.5374514845,-0.00179705528075"
Fitness At Your Fingertips,57dc2578498e9379faa90aa9,,,General Entertainment,4bf58dd8d48988d1f1931735,"51.5221614,-0.0115537"
Sharp Design Co.,56c14e2fcd10059b151ce413,,,General Entertainment,4bf58dd8d48988d1f1931735,"51.5024993,-0.0190892000001"
Little Hero Parties,5981e4f71f8ed6205823e488,,,General Entertainment,4bf58dd8d48988d1f1931735,"51.4384065,0.2457998"
Revolutions,5194ea22498e2998be21179d,,CIRCUS SCHOOL is a great way to wear out your kids,General Entertainment,4bf58dd8d48988d1f1931735,"51.4083443677,0.178445049034"
Butcher Row Studios,4d035be7a2685481b053b1bd,,www.ButcherRowStudios.com These guys are good for recording your songs and stuff :),General Entertainment,4bf58dd8d48988d1f1931735,"51.5113332847,-0.0427436828613"
Gala Bingo,4b890c3df964a520dd1932e3,,Free Bingo on Thursdays :),General Entertainment,4bf58dd8d48988d1f1931735,"51.4961402371,-0.0432020602806"
Mick's Discos & Children's Entertainer,56e6ff15498e13426e7d5816,,,General Entertainment,4bf58dd8d48988d1f1931735,"51.3993395257,0.105850696564"
Glow,4f884358e4b0202c051f1a55,,,General Entertainment,4bf58dd8d48988d1f1931735,"51.4371052443,0.271119630471"
Creative Wordism,58729efd8ee5605eafa3b485,,,,,"51.5862467127,0.0255150888854"
Capital Karts,52a3108a11d2a4fe768fdfef,8.6,Best place for karting in london😍,Go Kart Track,52e81612bcbc57f1066b79ea,"51.5317916097,0.118738740859"
TeamSport,4b584036f964a520a04f28e3,8.5,One of the best carting places in London,Go Kart Track,52e81612bcbc57f1066b79ea,"51.4942273312,0.0356307371386"
Lakeside Karting,4d52d9419ffc236acd9c31a7,7.5,Go super fast and dont use the break,Go Kart Track,52e81612bcbc57f1066b79ea,"51.4928590973,0.286247256913"
TeamSport Karting,4d754b15d0c737042eaefc17,8.3,"Good fun, good kart, good crew. Will recommend it to anyone!",Go Kart Track,52e81612bcbc57f1066b79ea,"51.4944917367,-0.0640749599665"
TeamSport Indoor Karting,4c39ad7a1e06d13a2df6793e,7.4,"Remember to collect your full race report so you can see your lap times, average speed and the fastest driver of the session - a great date souvenir!",Go Kart Track,52e81612bcbc57f1066b79ea,"51.6183864191,-0.0448668193855"
Karting Nation - Mile End,4c724c07f3279c74ee84ab2d,5.7,Waiting forevs 4 what??? No score sheets 😢,Go Kart Track,52e81612bcbc57f1066b79ea,"51.517696246,-0.0303026791951"
Brentwood Karting,5172704ce4b0182f55ee9d1d,,,Go Kart Track,52e81612bcbc57f1066b79ea,"51.5976462802,0.296854592582"
Team Sport,54b29554498e3753abee7380,7.7,I prefer the gas powered carts over the electric ones but still really fun,Go Kart Track,52e81612bcbc57f1066b79ea,"51.5056583172,-0.255257701155"
Surbiton Raceway,4c263eb3a852c9289b40e66c,7.9,Great place for adults as well as children to enjoy gokarting,Go Kart Track,52e81612bcbc57f1066b79ea,"51.3755679131,-0.268318"
Karting Nation - Croydon,4c6fadb89662ef3b861feabe,,,Go Kart Track,52e81612bcbc57f1066b79ea,"51.38947,-0.14289"
Daytona Sandown Park,4bf4293798ac0f47acaa63a8,7.2,Nice track good location,Go Kart Track,52e81612bcbc57f1066b79ea,"51.3756283554,-0.36218542099"
Severndroog Castle,4e7f784793ad1c3e52b784f2,7.8,14 October: Severndroog Castle is a folly which was built in 1784 as a memorial to William James of the East India Co. to commemorate the conquest of the castle off the coast of Malabar in the 1760s.,Historic Site,4deefb944765f83613cdba6e,"51.4666953348,0.0600647073752"
Eltham Palace and Gardens,4ac518cef964a52036a620e3,8.8,Amazing Art Deco.,Historic Site,4deefb944765f83613cdba6e,"51.4472272129,0.0485587120056"
Greenwich Meridian,4e9c655cb63497cdaa96ce75,9.1,You dont have to go inside there is a gate near the clock you can take photos there,Historic Site,4deefb944765f83613cdba6e,"51.4779432265,-0.00164451601912"
Old Royal Naval College,4ca32c93d7c33704224e9e62,9.3,"Designed by Sir Christopher Wren, the college was going to have an enormous dome in the middle, but Queen Mary II objected as it would block the view of the river from her house in Greenwich Park.",Historic Site,4deefb944765f83613cdba6e,"51.4832336577,-0.00557899475098"
Royal Observatory,4ac518cef964a5203aa620e3,8.6,"Set in a stunning park, and sitting precisely on the Prime Meridian of the world, the Royal Observatory is a great way to spend an afternoon in South London.",Observatory,5744ccdfe4b0c0459246b4d9,"51.4771332098,-0.00075101852417"
Lesnes Abbey,4c51917b9d642d7ffacdc3dd,6.1,Has a new exercise area installed,Historic Site,4deefb944765f83613cdba6e,"51.4895256283,0.125839320723"
Three Mills Island Historic Tidal Mill & Miller's House,50997c61e4b01cb1b12ac09f,7.4,Worth a visit! http://www.visitleevalley.org.uk/en/content/cms/nature/nature-reserve/three-mills-island/,Historic Site,4deefb944765f83613cdba6e,"51.5270383022,-0.00769315576429"
Chinese Pagoda,4fad1cb1e4b0d4398d7db755,6.9,Mind out for geese but relax near waters edge and also shout random words to people passing in pedalos and rowing boats.,Historic Site,4deefb944765f83613cdba6e,"51.533899144,-0.0462953705855"
The House Mill,4ebfe6719a52cce4f3945db5,,Amazing space w cafe. It's an oasis in Bromley-by-Bow.,Historic Site,4deefb944765f83613cdba6e,"51.5272333854,-0.00757851781601"
Queen's Chapel,4c3c71847d002d7fa666ae18,,Evensong is at 18:30.,Historic Site,4deefb944765f83613cdba6e,"51.4832470203,-0.00512301921844"
