words,type,polarity
best pastrami ever have great portion be ridiculous,JJ NN RB VB JJ NN VB JJ,2.0
best pastrami ever have great portion be ridiculous,JJ NN RB VB JJ NN VB JJ,2.0
wife have fried shrimp be huge love,NN VB JJ NN VB JJ VB,2.0
wife have fried shrimp be huge love,NN VB JJ NN VB JJ VB,2.0
japanese native ve live tristate area year be just so amaze place,JJ NN NN VB JJ NN NN VB RB RB VB NN,2.0
place be most japanese ever get,NN VB JJ JJ RB VB,2.0
sign special menu food even waitstaff be totally japanese,NN NN NN NN RB NN VB RB JJ,2.0
sign special menu food even waitstaff be totally japanese,NN NN NN NN RB NN VB RB JJ,2.0
sign special menu food even waitstaff be totally japanese,NN NN NN NN RB NN VB RB JJ,2.0
sign special menu food even waitstaff be totally japanese,NN NN NN NN RB NN VB RB JJ,2.0
place be one hour drive,NN VB NN NN NN,2.0
be so coming back here again as much,VB RB JJ NN RB RB RB JJ,2.0
leon be east village gem casual hip well prepared basic french bistro fare good special warm lively atmosphere,NN VB JJ NN NN JJ NN RB JJ JJ JJ NN VB JJ NN JJ JJ NN,2.0
leon be east village gem casual hip well prepared basic french bistro fare good special warm lively atmosphere,NN VB JJ NN NN JJ NN RB JJ JJ JJ NN VB JJ NN JJ JJ NN,2.0
leon be east village gem casual hip well prepared basic french bistro fare good special warm lively atmosphere,NN VB JJ NN NN JJ NN RB JJ JJ JJ NN VB JJ NN JJ JJ NN,2.0
leon be east village gem casual hip well prepared basic french bistro fare good special warm lively atmosphere,NN VB JJ NN NN JJ NN RB JJ JJ JJ NN VB JJ NN JJ JJ NN,2.0
leon be east village gem casual hip well prepared basic french bistro fare good special warm lively atmosphere,NN VB JJ NN NN JJ NN RB JJ JJ JJ NN VB JJ NN JJ JJ NN,2.0
wife always enjoy young not always well trained nevertheless friendly staff have story,NN RB VB JJ RB RB RB JJ RB JJ NN VB NN,2.0
decent wine reasonable price,JJ NN JJ NN,1.0
decent wine reasonable price,JJ NN JJ NN,2.0
have be dozen time never fail enjoy experience,VB VB NN NN RB VB VB NN,2.0
teenage kid love too,JJ NN VB RB,2.0
everytime decide try place ue get angry do not just go pomodori,NN NN VB NN NN VB JJ VB RB RB VB NN,2.0
be far favorite place neighborhood,VB RB JJ NN NN,2.0
service be excellent decor be great food be delicious come large portion,NN VB JJ NN VB JJ NN VB JJ VB JJ NN,2.0
service be excellent decor be great food be delicious come large portion,NN VB JJ NN VB JJ NN VB JJ VB JJ NN,2.0
service be excellent decor be great food be delicious come large portion,NN VB JJ NN VB JJ NN VB JJ VB JJ NN,2.0
service be excellent decor be great food be delicious come large portion,NN VB JJ NN VB JJ NN VB JJ VB JJ NN,2.0
partial gnocchi,JJ NN,2.0
place be incredibly tiny,NN VB RB JJ,0.0
refuse seat party more weekend,VB NN NN JJ NN,0.0
hostess be rude point be offensive,NN VB JJ NN VB JJ,0.0
food be bland oily,NN VB JJ JJ,0.0
just do not understand hype,RB VB RB VB NN,0.0
have be place many time always have great food wine service,VB VB NN JJ NN RB VB JJ NN NN NN,2.0
have be place many time always have great food wine service,VB VB NN JJ NN RB VB JJ NN NN NN,2.0
have be place many time always have great food wine service,VB VB NN JJ NN RB VB JJ NN NN NN,2.0
be worried have trouble get somehow manage have short wait,VB JJ VB NN VB RB VB VB JJ NN,2.0
always have great glass wine wait,RB VB JJ NN NN VB,2.0
sit get great fast service,VB VB JJ JJ NN,2.0
person work there be always so friendly forget be new york sometimes,NN NN RB VB RB RB JJ VB VB NN NN RB,2.0
make sure try place often,VB JJ VB NN RB,2.0
be fun restaurant go,VB NN NN VB,2.0
pizza be yummy atmoshpere,NN VB JJ RB,2.0
pizza be yummy atmoshpere,NN VB JJ RB,2.0
pizza be way expensive,NN VB NN JJ,0.0
go there lunch be not good expect reviews read,VB RB NN VB RB JJ VB NN VB,0.0
sauce be watery food do not have much flavor,NN VB JJ NN VB RB VB JJ NN,0.0
sauce be watery food do not have much flavor,NN VB JJ NN VB RB VB JJ NN,0.0
do not think go again,VB RB VB VB RB,0.0
place be great,NN VB JJ,2.0
have huge group birthday be well take care,VB JJ NN NN VB RB VB NN,2.0
waitress be very patient food be phenomenal,NN VB RB NN NN VB JJ,2.0
waitress be very patient food be phenomenal,NN VB RB NN NN VB JJ,2.0
service be prompt friendly great,NN VB JJ JJ JJ,2.0
slightly pricey side worth,RB JJ NN JJ,0.0
slightly pricey side worth,RB JJ NN JJ,2.0
great pizza fantastic service,JJ NN JJ NN,2.0
great pizza fantastic service,JJ NN JJ NN,2.0
be small wait shorter expect,VB JJ NN JJ VB,2.0
locate end magnificent block,VB NN JJ NN,2.0
very cozy warm inside,RB JJ JJ NN,2.0
be back,VB RB,2.0
be best sushi new york city hand,VB JJ NN NN NN NN NN,2.0
place be small cramped food be fantastic,NN VB JJ JJ NN VB JJ,0.0
place be small cramped food be fantastic,NN VB JJ JJ NN VB JJ,2.0
get tuna gari,VB NN NN,2.0
planet thailand have always be hit go there usually sushi be great thai food be excellent too,NN NN VB RB VB NN VB RB RB NN VB JJ NN NN VB JJ RB,2.0
planet thailand have always be hit go there usually sushi be great thai food be excellent too,NN NN VB RB VB NN VB RB RB NN VB JJ NN NN VB JJ RB,2.0
planet thailand have always be hit go there usually sushi be great thai food be excellent too,NN NN VB RB VB NN VB RB RB NN VB JJ NN NN VB JJ RB,2.0
great variety menu eat here often never get bore,JJ NN NN NN RB RB RB VB VB,2.0
atmosphere be not greatest suppose be keep price,NN VB RB JJ VB VB VB NN,0.0
atmosphere be not greatest suppose be keep price,NN VB RB JJ VB VB VB NN,2.0
food,NN,2.0
first take long time find place,JJ VB JJ NN VB NN,0.0
look menu be not lot choice most be dumpling appetizer section,VB NN VB RB NN NN RB VB NN NN NN,0.0
roll be big not good sashimi be not fresh,NN VB JJ RB JJ NN VB RB JJ,1.0
roll be big not good sashimi be not fresh,NN VB JJ RB JJ NN VB RB JJ,0.0
roll be big not good sashimi be not fresh,NN VB JJ RB JJ NN VB RB JJ,0.0
be dry disgusting do not even finish first piece,VB JJ JJ VB RB RB VB JJ NN,0.0
hurley be cheer everyone know name be actually glad come,NN VB NN NN VB NN VB RB JJ VB,2.0
try crunchy tuna be die,VB JJ NN VB VB,2.0
try everything matter be good,NN NN NN VB JJ,2.0
have be go there open get enough,VB VB VB RB VB VB RB,2.0
first go here enjoy garden terrace,JJ VB RB VB NN NN,2.0
food be amazing service be prompt helpful not bearing rush,NN VB JJ NN VB JJ JJ RB NN VB,2.0
food be amazing service be prompt helpful not bearing rush,NN VB JJ NN VB JJ JJ RB NN VB,2.0
steak tartare be great bet fix table,NN NN VB JJ NN VB NN,2.0
admittedly night restaurant be rather warm open kitchen be part charm,RB NN NN VB RB JJ JJ NN VB NN NN,2.0
admittedly night restaurant be rather warm open kitchen be part charm,RB NN NN VB RB JJ JJ NN VB NN NN,0.0
great wine selection gigondas be price house champagne be great value,JJ NN NN NN VB NN NN NN VB JJ NN,2.0
great wine selection gigondas be price house champagne be great value,JJ NN NN NN VB NN NN NN VB JJ NN,2.0
great wine selection gigondas be price house champagne be great value,JJ NN NN NN VB NN NN NN VB JJ NN,2.0
be bit pack weekend vibe be good be best french food find area,VB NN VB NN NN VB JJ VB JJ JJ NN VB NN,1.0
be bit pack weekend vibe be good be best french food find area,VB NN VB NN NN VB JJ VB JJ JJ NN VB NN,2.0
be bit pack weekend vibe be good be best french food find area,VB NN VB NN NN VB JJ VB JJ JJ NN VB NN,2.0
have recommend place friend always get good response,VB VB NN NN RB VB JJ NN,2.0
pizza only pizza nyc not have additional topping crust taste best freshly baked bread,NN JJ NN NN RB VB JJ NN NN VB JJ RB JJ NN,2.0
pizza only pizza nyc not have additional topping crust taste best freshly baked bread,NN JJ NN NN RB VB JJ NN NN VB JJ RB JJ NN,2.0
take nyc guest vt,VB NN NN VB,2.0
not sure previous reviewer lonk dine saul be great neighborhood have great food,RB JJ JJ NN NN VB NN VB JJ NN VB JJ NN,2.0
not sure previous reviewer lonk dine saul be great neighborhood have great food,RB JJ JJ NN NN VB NN VB JJ NN VB JJ NN,2.0
have be time have always have wonderful experience,VB VB NN VB RB VB JJ NN,2.0
highly recommend special occasion provide intimate setting nice service,RB VB JJ NN VB JJ NN JJ NN,2.0
highly recommend special occasion provide intimate setting nice service,RB VB JJ NN VB JJ NN JJ NN,2.0
highly recommend special occasion provide intimate setting nice service,RB VB JJ NN VB JJ NN JJ NN,2.0
not sure other reviewer eat seem visit different restaurant friend enjoy mizu very much be repeat customer,RB JJ JJ NN VB VB VB JJ NN NN NN NN RB JJ VB JJ NN,2.0
even overcharge last time be there,RB VB JJ NN VB RB,0.0
make sure have spicy scallop roll,VB JJ VB JJ NN NN,2.0
be delicious,VB JJ,2.0
moule be excellent lobster ravioli be very salty,NN VB JJ NN NN VB RB JJ,2.0
moule be excellent lobster ravioli be very salty,NN VB JJ NN NN VB RB JJ,0.0
take mom mother day maitre be pretty rude,VB NN NN NN NN VB JJ JJ,0.0
tell sit anywhere sit say table be re-serve,VB VB RB VB VB NN VB VB,0.0
step foot second time reach adjust light,VB NN JJ NN VB VB VB,0.0
tiny dessert be just plain overpriced be,JJ NN VB RB RB JJ VB,0.0
tiny dessert be just plain overpriced be,JJ NN VB RB RB JJ VB,0.0
tiny dessert be just plain overpriced be,JJ NN VB RB RB JJ VB,0.0
drink be always welll make wine selection be fairly price,NN VB RB VB VB NN NN VB RB VB,2.0
drink be always welll make wine selection be fairly price,NN VB RB VB VB NN NN VB RB VB,2.0
try chef special be die,VB NN NN VB VB,2.0
service be not exactly star that not really big deal,NN VB RB RB NN VB RB RB JJ NN,1.0
downstairs lounge be always good attraction,NN NN VB RB JJ NN,2.0
raga be romantic cozy restaurant,VB VB JJ JJ NN,2.0
exotic food be beautifully present be delight delicious combination,JJ NN VB RB VB VB NN JJ NN,2.0
exotic food be beautifully present be delight delicious combination,JJ NN VB RB VB VB NN JJ NN,2.0
be also extremely well price,VB RB RB RB VB,2.0
staff be incredibly helpful attentive,NN VB RB JJ JJ,2.0
bar be very well stock interesting beer well price wine,NN VB RB RB VB JJ NN RB VB NN,2.0
bar be very well stock interesting beer well price wine,NN VB RB RB VB JJ NN RB VB NN,2.0
bar be very well stock interesting beer well price wine,NN VB RB RB VB JJ NN RB VB NN,2.0
be favorite restaurant be not be miss,VB JJ NN VB RB VB VB,2.0
friend thank introduce gem,NN VB VB NN,2.0
stumble leon think have find quite gem be certainly wrong,VB NN VB VB VB RB NN VB RB JJ,0.0
waitress move table practically bathroom ask cancel dinner order do not want eat sit toilet be tell,NN VB NN RB NN VB VB NN NN VB RB VB VB VB NN VB VB,0.0
then top thing drop used silverware boyfriend jacket do not stop apologize clean mess be left clothe,RB VB NN VB JJ NN NN NN VB RB VB VB VB NN VB VB NN,0.0
disappointment,NN,0.0
rude service medicore food be ton restaurant ny stay away one,JJ NN JJ NN VB NN NN NN VB RB NN,0.0
rude service medicore food be ton restaurant ny stay away one,JJ NN JJ NN VB NN NN NN VB RB NN,1.0
rude service medicore food be ton restaurant ny stay away one,JJ NN JJ NN VB NN NN NN VB RB NN,0.0
have grat time jekyll hyde,VB NN NN NN NN,2.0
love everythig especially show actor,VB NN RB NN NN,2.0
love everythig especially show actor,VB NN RB NN NN,2.0
love everythig especially show actor,VB NN RB NN NN,2.0
server be very helpful friendly,NN VB RB JJ JJ,2.0
be bring whole family next time,VB VB JJ NN JJ NN,2.0
food be good too,NN VB JJ RB,2.0
tuna wasabe potato be excellent,NN NN NN VB JJ,2.0
tuna wasabe potato be excellent,NN NN NN VB JJ,2.0
outdoor atmosphere sit sidewalk watch world go foot away avenue cool evening be wonderful,JJ NN VB NN VB NN VB NN RB NN JJ NN VB JJ,2.0
inside be little cramped be expect,NN VB JJ JJ VB VB,1.0
service be prompt courteous,NN VB JJ JJ,2.0
be repeat visit definitely be back again,VB JJ NN RB VB RB RB,2.0
great service great food,JJ NN JJ NN,2.0
great service great food,JJ NN JJ NN,2.0
price be line,NN VB NN,1.0
too far east,RB RB JJ,0.0
pizza be delicious use fresh mozzarella instead cheap frozen shredded cheese common most pizzarium,NN VB JJ VB JJ NN RB RB JJ JJ NN JJ RB NN,2.0
pizza be delicious use fresh mozzarella instead cheap frozen shredded cheese common most pizzarium,NN VB JJ VB JJ NN RB RB JJ JJ NN JJ RB NN,2.0
complaint appetizer selection stink be nice get mozzarella stick menu,NN NN NN VB VB JJ VB NN NN NN,0.0
also be thin get cold very quickly not fill,RB VB JJ VB JJ RB RB RB VB,0.0
also be thin get cold very quickly not fill,RB VB JJ VB JJ RB RB RB VB,0.0
wait staff be blantently unappreciative business best pie uws,JJ NN VB RB JJ NN JJ NN NN,0.0
wait staff be blantently unappreciative business best pie uws,JJ NN VB RB JJ NN JJ NN NN,2.0
far best salad have have fast food restaurant,RB JJ NN VB VB JJ NN NN,2.0
fine dine restaurant quality,JJ VB NN NN,2.0
different choice create own,JJ NN VB JJ,2.0
try,VB,2.0
recent sunday afternoon friend accidently find great restaurant way see pulitzer prize play doubt,JJ NN NN NN RB VB JJ NN NN VB NN NN VB NN,2.0
be perfect quiet relaxing delicious accompaniment afternoon theater,VB JJ JJ NN JJ NN NN NN,2.0
be perfect quiet relaxing delicious accompaniment afternoon theater,VB JJ JJ NN JJ NN NN NN,2.0
chicken pot pie be excpetiona cheeseburger huge delictable service professional wan warm,NN NN NN VB RB JJ JJ JJ NN JJ JJ NN,2.0
chicken pot pie be excpetiona cheeseburger huge delictable service professional wan warm,NN NN NN VB RB JJ JJ JJ NN JJ JJ NN,2.0
chicken pot pie be excpetiona cheeseburger huge delictable service professional wan warm,NN NN NN VB RB JJ JJ JJ NN JJ JJ NN,2.0
chicken pot pie be excpetiona cheeseburger huge delictable service professional wan warm,NN NN NN VB RB JJ JJ JJ NN JJ JJ NN,2.0
so many poor experience be have theater district be truly excellent find,RB JJ JJ NN VB VB NN NN VB RB JJ NN,2.0
return many time oasis mid town,VB JJ NN NN JJ NN,2.0
staff be nonsense,NN VB NN,2.0
food option rule,NN NN NN,2.0
live upstate buy freeze bagel still be better else,VB JJ VB VB NN RB VB JJ RB,2.0
worth visit st ave spot be original store,NN VB NN JJ NN VB JJ NN,2.0
serve uni hand roll never have before let tell be heaven,VB JJ NN NN RB VB RB VB VB VB NN,2.0
sake menu not be overlooked,NN NN RB VB JJ,2.0
midtown gem instantly become favorite sushi restaurant city,JJ NN RB VB JJ NN NN NN,2.0
try lobster teriyaki rise special roll,VB NN NN VB JJ NN,2.0
try lobster teriyaki rise special roll,VB NN NN VB JJ NN,2.0
service be very good prompt attentive intrusive,NN VB RB JJ JJ JJ JJ,2.0
food be very good well consider try budget selection wish pork belly order be roast bit longer fat be more melt mouth experience,NN VB RB JJ RB VB VB NN NN VB NN NN VB VB VB NN RB NN VB JJ VB NN NN,2.0
food be very good well consider try budget selection wish pork belly order be roast bit longer fat be more melt mouth experience,NN VB RB JJ RB VB VB NN NN VB NN NN VB VB VB NN RB NN VB JJ VB NN NN,0.0
wine list selection be good wine glass be generously fill top,NN NN NN VB JJ NN NN VB RB VB NN,2.0
wine list selection be good wine glass be generously fill top,NN NN NN VB JJ NN NN VB RB VB NN,2.0
traditional french decour be pleasant hall be rather noisy restaurant be full have raise voice be able maintain conversation,JJ JJ NN VB JJ NN VB RB JJ NN VB JJ VB VB NN VB JJ VB NN,2.0
traditional french decour be pleasant hall be rather noisy restaurant be full have raise voice be able maintain conversation,JJ JJ NN VB JJ NN VB RB JJ NN VB JJ VB VB NN VB JJ VB NN,0.0
have be cafe spice probably time be probably still best indian restaurant union square,VB VB NN NN RB NN VB RB RB JJ JJ NN NN NN,2.0
sum service vary good mediorce depend waiter get generally be just average,VB NN VB JJ VB VB NN VB RB VB RB JJ,1.0
seating be always prompt restaurant do fill evening,NN VB RB JJ NN VB VB NN,2.0
food be usually very good ocasionally wonder freshmess raw vegatable side order,NN VB RB RB JJ RB VB NN JJ NN NN NN,2.0
food be usually very good ocasionally wonder freshmess raw vegatable side order,NN VB RB RB JJ RB VB NN JJ NN NN NN,0.0
many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN,1.0
decor be vibrant eye please several semi private both right side dining hall be great date,NN VB JJ NN VB JJ NN JJ NN JJ NN NN NN VB JJ NN,2.0
decor be vibrant eye please several semi private both right side dining hall be great date,NN VB JJ NN VB JJ NN JJ NN JJ NN NN NN VB JJ NN,2.0
